# logA mnu nnu ns ombh2 omch2 tau H0
1.710447186217175797e+07 -3.624373780573946424e+06 -1.040459318196854438e+06 2.089169467878340185e+07 1.711446113002734780e+08 7.361686912422005832e+07 -1.959488341125394031e+07 -1.709952285884032026e+05
-3.624373780573946424e+06 1.232890829470725730e+06 -4.815209507282329287e+04 -4.734547409234337509e+06 -4.312802856110171229e+07 -1.464725105561218783e+07 3.065948595998332836e+06 6.883824431053540320e+04
-1.040459318196854438e+06 -4.815209507282329287e+04 6.028121577932939399e+05 -1.390777060054330621e+06 4.230100418929466605e+07 -2.779687405531473458e+07 4.007883825033279718e+05 -3.116417764388912838e+04
2.089169467878340185e+07 -4.734547409234337509e+06 -1.390777060054330621e+06 2.727434377428437769e+07 2.366128575379578173e+08 1.010040354199568927e+08 -2.264432877083920315e+07 -2.225121896790943283e+05
1.711446113002734780e+08 -4.312802856110171229e+07 4.230100418929466605e+07 2.366128575379578173e+08 1.683574433388288498e+10 -2.921833061266706944e+09 -4.152334054916399121e+08 -5.986084830386645161e+06
7.361686912422005832e+07 -1.464725105561218783e+07 -2.779687405531473458e+07 1.010040354199568927e+08 -2.921833061266706944e+09 1.748440949180261612e+09 3.294430383284403943e+06 7.704543642724331003e+05
-1.959488341125394031e+07 3.065948595998332836e+06 4.007883825033279718e+05 -2.264432877083920315e+07 -4.152334054916399121e+08 3.294430383284403943e+06 3.069027573195478693e+07 2.107669743309226760e+05
-1.709952285884032026e+05 6.883824431053540320e+04 -3.116417764388912838e+04 -2.225121896790943283e+05 -5.986084830386645161e+06 7.704543642724331003e+05 2.107669743309226760e+05 5.460188314645480204e+03
