# H0 logA mnu nnu ns ombh2 omch2 tau
5.146898768182000822e+03 -1.304086809961370309e+05 6.487911717833540752e+04 -3.077832401834897610e+04 -1.935886553157419257e+05 -5.521457941594320349e+06 6.801099788350744639e+05 1.375416736723895010e+05
-1.304086809961370309e+05 1.191476419282350503e+07 -2.935017580679787789e+06 -9.295721170171189588e+05 1.639768170542219654e+07 1.302921418894320428e+08 7.028258999990642071e+07 -1.156692848591247201e+07
6.487911717833540752e+04 -2.935017580679787789e+06 1.244422414678308880e+06 8.801993706657659686e+02 -4.583730555653619580e+06 -3.241143006810555980e+07 -2.059318929605179280e+07 1.367734868289075559e+06
-3.077832401834897610e+04 -9.295721170171189588e+05 8.801993706657659686e+02 6.324751004469681066e+05 -1.559974202750120312e+06 4.554737327037542313e+07 -3.123083016137550771e+07 -1.345993201456865354e+05
-1.935886553157419257e+05 1.639768170542219654e+07 -4.583730555653619580e+06 -1.559974202750120312e+06 2.526055855173880607e+07 1.759648448853651881e+08 1.255539634393219352e+08 -1.296335982487288676e+07
-5.521457941594320349e+06 1.302921418894320428e+08 -3.241143006810555980e+07 4.554737327037542313e+07 1.759648448853651881e+08 1.629790127063683701e+10 -3.199741845144413471e+09 -3.795894711318335533e+08
6.801099788350744639e+05 7.028258999990642071e+07 -2.059318929605179280e+07 -3.123083016137550771e+07 1.255539634393219352e+08 -3.199741845144413471e+09 2.113661932094148874e+09 4.582652383227318525e+07
1.375416736723895010e+05 -1.156692848591247201e+07 1.367734868289075559e+06 -1.345993201456865354e+05 -1.296335982487288676e+07 -3.795894711318335533e+08 4.582652383227318525e+07 2.203283886784612387e+07
