# logA mnu nnu ns ombh2 omch2 tau theta
1.710299028566372767e+07 -2.064890611726771574e+06 -3.018367383044986054e+06 2.088993958962282538e+07 2.931622492474866658e+07 1.333543813302650154e+08 -1.959316952556497976e+07 -5.729864538409938663e+07
-2.064890611726771574e+06 4.313365564379908028e+05 4.564144046087322058e+05 -2.705012506118432153e+06 2.725901364538627118e+07 -2.831463788377548009e+07 1.144435325787118869e+06 6.377336443037832156e+06
-3.018367383044986054e+06 4.564144046087322058e+05 6.126044748798409710e+05 -3.964753369466196746e+06 -3.979060157182834810e+05 -3.007032205365477502e+07 2.838530401009514928e+06 1.063498470223898813e+07
2.088993958962282538e+07 -2.705012506118432153e+06 -3.964753369466196746e+06 2.727222587983339280e+07 5.204058785168935359e+07 1.787398224424957037e+08 -2.264229449313349649e+07 -7.456526015505006909e+07
2.931622492474866658e+07 2.725901364538627118e+07 -3.979060157182834810e+05 5.204058785168935359e+07 1.069058642752340889e+10 -1.776781007251771212e+09 -2.408329753190238178e+08 -4.963816270149757266e+08
1.333543813302650154e+08 -2.831463788377548009e+07 -3.007032205365477502e+07 1.787398224424957037e+08 -1.776781007251771212e+09 1.875798887308083057e+09 -7.037713389208306372e+07 -3.814014839791772366e+08
-1.959316952556497976e+07 1.144435325787118869e+06 2.838530401009514928e+06 -2.264229449313349649e+07 -2.408329753190238178e+08 -7.037713389208306372e+07 3.068769560882199183e+07 7.072999440424793959e+07
-5.729864538409938663e+07 6.377336443037832156e+06 1.063498470223898813e+07 -7.456526015505006909e+07 -4.963816270149757266e+08 -3.814014839791772366e+08 7.072999440424793959e+07 5.941646301910195351e+08
