# H0 logA mnu nnu ns ombh2 omch2 tau
3.681389265169662849e+03 -1.651092730434600671e+05 5.689005629401515034e+04 -4.470156947352652423e+03 -2.483942346097498375e+05 -5.154606972876354121e+06 -2.537295903794573387e+05 1.682760901522204222e+05
-1.651092730434600671e+05 1.404124843487827107e+07 -3.760076506466631312e+06 -1.170441096568478970e+06 1.997229142356719822e+07 1.716195699849953055e+08 9.229037917614062130e+07 -1.236496469250187278e+07
5.689005629401515034e+04 -3.760076506466631312e+06 1.280589821082503768e+06 2.734536317766013672e+05 -5.719540547682211734e+06 -3.644811544393259287e+07 -3.102387522266900539e+07 2.252179391473858152e+06
-4.470156947352652423e+03 -1.170441096568478970e+06 2.734536317766013672e+05 3.650631539535303600e+05 -1.829273548816894414e+06 2.646273234194685891e+07 -2.327192827381370217e+07 1.523086525028602919e+05
-2.483942346097498375e+05 1.997229142356719822e+07 -5.719540547682211734e+06 -1.829273548816894414e+06 3.059439407455597818e+07 2.593855717969416380e+08 1.480350926018416584e+08 -1.580366919908883609e+07
-5.154606972876354121e+06 1.716195699849953055e+08 -3.644811544393259287e+07 2.646273234194685891e+07 2.593855717969416380e+08 1.774615477542264938e+10 -2.523643894569662094e+09 -4.129389878720520139e+08
-2.537295903794573387e+05 9.229037917614062130e+07 -3.102387522266900539e+07 -2.327192827381370217e+07 1.480350926018416584e+08 -2.523643894569662094e+09 1.874166721316860914e+09 1.431520875290498883e+07
1.682760901522204222e+05 -1.236496469250187278e+07 2.252179391473858152e+06 1.523086525028602919e+05 -1.580366919908883609e+07 -4.129389878720520139e+08 1.431520875290498883e+07 1.955627659932972863e+07
