# logA mnu nnu ns ombh2 omch2 tau theta
2.666846084391365200e+07 -3.187707010599225294e+06 -4.980350127255179919e+06 3.423622214352165908e+07 1.550749515340792835e+08 2.075677912536831498e+08 -3.086206638272798061e+07 -1.006273732181112766e+08
-3.187707010599225294e+06 6.010397590010146378e+05 6.898526845394310076e+05 -4.241274687284212559e+06 2.520223891724579036e+07 -3.950259810134549439e+07 2.205108274696185254e+06 1.051163485617288947e+07
-4.980350127255179919e+06 6.898526845394310076e+05 1.016042515110554290e+06 -6.694595952753466554e+06 -2.488454495168612525e+07 -4.557068596263120323e+07 5.124216386824218556e+06 1.958677371112930775e+07
3.423622214352165908e+07 -4.241274687284212559e+06 -6.694595952753466554e+06 4.588784979329691082e+07 2.364459117347784340e+08 2.803143423970466852e+08 -3.856615961115998775e+07 -1.355529422301994562e+08
1.550749515340792835e+08 2.520223891724579036e+07 -2.488454495168612525e+07 2.364459117347784340e+08 1.668074106207717133e+10 -1.668243778134316921e+09 -4.792518856962467432e+08 -1.383033496142820835e+09
2.075677912536831498e+08 -3.950259810134549439e+07 -4.557068596263120323e+07 2.803143423970466852e+08 -1.668243778134316921e+09 2.622096885172081947e+09 -1.401071704968317151e+08 -6.766449141409935951e+08
-3.086206638272798061e+07 2.205108274696185254e+06 5.124216386824218556e+06 -3.856615961115998775e+07 -4.792518856962467432e+08 -1.401071704968317151e+08 4.580870834846793860e+07 1.274642338379837126e+08
-1.006273732181112766e+08 1.051163485617288947e+07 1.958677371112930775e+07 -1.355529422301994562e+08 -1.383033496142820835e+09 -6.766449141409935951e+08 1.274642338379837126e+08 6.161423385257316828e+08
