# H0 logA mnu nnu ns ombh2 omch2 tau
5.561454782283606619e+03 -3.006845022596046329e+05 8.209532814833500015e+04 -5.727397723675072484e+03 -4.050519404207965708e+05 -8.728749135297786444e+06 -7.781555385707033565e+04 3.807461507218089537e+05
-3.006845022596046329e+05 2.667146103841973469e+07 -5.929112131963952444e+06 -1.500887601498552598e+06 3.423997725632021576e+07 4.043334913663462996e+08 1.025068643426577598e+08 -3.086550042164339870e+07
8.209532814833500015e+04 -5.929112131963952444e+06 1.636002644490059465e+06 2.741277907937636483e+05 -7.934368376722049899e+06 -8.036880956322780252e+07 -2.926333963098584488e+07 5.674951968292600475e+06
-5.727397723675072484e+03 -1.500887601498552598e+06 2.741277907937636483e+05 4.036876144842522917e+05 -2.007396790714393137e+06 2.748561291161844507e+07 -2.417255716595539823e+07 7.190293419075444108e+05
-4.050519404207965708e+05 3.423997725632021576e+07 -7.934368376722049899e+06 -2.007396790714393137e+06 4.589259615918675065e+07 5.722160903422977924e+08 1.387830440352148414e+08 -3.857049786814367026e+07
-8.728749135297786444e+06 4.043334913663462996e+08 -8.036880956322780252e+07 2.748561291161844507e+07 5.722160903422977924e+08 2.728660736091223145e+10 -3.039534740347171307e+09 -7.943374476825627089e+08
-7.781555385707033565e+04 1.025068643426577598e+08 -2.926333963098584488e+07 -2.417255716595539823e+07 1.387830440352148414e+08 -3.039534740347171307e+09 1.889612246303925753e+09 -7.015812923709776253e+06
3.807461507218089537e+05 -3.086550042164339870e+07 5.674951968292600475e+06 7.190293419075444108e+05 -3.857049786814367026e+07 -7.943374476825627089e+08 -7.015812923709776253e+06 4.581346668248794228e+07
