# logA mnu nnu ns ombh2 omch2 tau H0
1.404124843487827107e+07 -3.760076506466631312e+06 -1.170441096568478970e+06 1.997229142356719822e+07 1.716195699849953055e+08 9.229037917614062130e+07 -1.236496469250187278e+07 -1.651092730434600671e+05
-3.760076506466631312e+06 1.280546733425841900e+06 2.735460039598499425e+05 -5.719540547682211734e+06 -3.643200742478584498e+07 -3.102340534150592610e+07 2.252179391473858152e+06 5.686845204651651147e+04
-1.170441096568478970e+06 2.735460039598499425e+05 3.648510344060473726e+05 -1.829273548816894414e+06 2.642514334679207206e+07 -2.327361621694306284e+07 1.523086525028602919e+05 -4.417970721171145669e+03
1.997229142356719822e+07 -5.719540547682211734e+06 -1.829273548816894414e+06 3.059439407455597818e+07 2.593855717969416380e+08 1.480350926018416584e+08 -1.580366919908883609e+07 -2.483942346097498375e+05
1.716195699849953055e+08 -3.643200742478584498e+07 2.642514334679207206e+07 2.593855717969416380e+08 1.773946996436980057e+10 -2.523967185527617455e+09 -4.129389878720520139e+08 -5.145256985376262106e+06
9.229037917614062130e+07 -3.102340534150592610e+07 -2.327361621694306284e+07 1.480350926018416584e+08 -2.523967185527617455e+09 1.874128721855679512e+09 1.431520875290498883e+07 -2.532104216627905262e+05
-1.236496469250187278e+07 2.252179391473858152e+06 1.523086525028602919e+05 -1.580366919908883609e+07 -4.129389878720520139e+08 1.431520875290498883e+07 1.955627659932972863e+07 1.682760901522204222e+05
-1.651092730434600671e+05 5.686845204651651147e+04 -4.417970721171145669e+03 -2.483942346097498375e+05 -5.145256985376262106e+06 -2.532104216627905262e+05 1.682760901522204222e+05 3.668110891296918453e+03
