# logA mnu nnu ns ombh2 omch2 tau theta
2.666846084391365200e+07 -3.187707010599225294e+06 -4.980350127255179919e+06 3.423622214352165908e+07 1.550749515340792835e+08 2.075677912536831498e+08 -3.086206638272798061e+07 -1.006273732181112766e+08
-3.187707010599225294e+06 6.002888730598931434e+05 6.906182110957392724e+05 -4.241274687284212559e+06 2.521521114553787187e+07 -3.954160079785659909e+07 2.205108274696185254e+06 1.054485822202330083e+07
-4.980350127255179919e+06 6.906182110957392724e+05 1.015262013884249143e+06 -6.694595952753466554e+06 -2.489771044114922360e+07 -4.553091990114845335e+07 5.124216386824218556e+06 1.955287496378809586e+07
3.423622214352165908e+07 -4.241274687284212559e+06 -6.694595952753466554e+06 4.588784979329691082e+07 2.364459117347784340e+08 2.803143423970466852e+08 -3.856615961115998775e+07 -1.355529422301994562e+08
1.550749515340792835e+08 2.521521114553787187e+07 -2.489771044114922360e+07 2.364459117347784340e+08 1.668044368987647629e+10 -1.667573530725240231e+09 -4.792518856962467432e+08 -1.383573571185668468e+09
2.075677912536831498e+08 -3.954160079785659909e+07 -4.553091990114845335e+07 2.803143423970466852e+08 -1.667573530725240231e+09 2.620070824913320541e+09 -1.401071704968317151e+08 -6.749175718846284151e+08
-3.086206638272798061e+07 2.205108274696185254e+06 5.124216386824218556e+06 -3.856615961115998775e+07 -4.792518856962467432e+08 -1.401071704968317151e+08 4.580870834846793860e+07 1.274642338379837126e+08
-1.006273732181112766e+08 1.054485822202330083e+07 1.955287496378809586e+07 -1.355529422301994562e+08 -1.383573571185668468e+09 -6.749175718846284151e+08 1.274642338379837126e+08 6.146566773660303354e+08
