# logA mnu nnu ns ombh2 omch2 tau theta
1.191363248855076730e+07 -1.745902381387426984e+06 -2.438103985540548339e+06 1.639615967036817595e+07 2.208472795754337311e+07 1.158356451785763353e+08 -1.156585004437818564e+07 -4.371687680775099248e+07
-1.745902381387426984e+06 4.886285006381956628e+05 4.890265231486439588e+05 -2.817008018119594548e+06 3.283593729670394585e+07 -3.303381637669003755e+07 1.158814722153221810e+05 6.006792867125630379e+06
-2.438103985540548339e+06 4.890265231486439588e+05 6.093035830974763958e+05 -3.799498908176769502e+06 5.562422342582134530e+06 -3.341634595676689968e+07 1.456253128990791505e+06 9.551350762517502531e+06
1.639615967036817595e+07 -2.817008018119594548e+06 -3.799498908176769502e+06 2.525851865630464628e+07 1.521940256897089444e+07 1.931689807965647578e+08 -1.296190277904819697e+07 -6.487883686507914960e+07
2.208472795754337311e+07 3.283593729670394585e+07 5.562422342582134530e+06 1.521940256897089444e+07 1.071076358137958145e+10 -2.202991105395422459e+09 -2.660223504033587873e+08 -4.277069566722148657e+08
1.158356451785763353e+08 -3.303381637669003755e+07 -3.341634595676689968e+07 1.931689807965647578e+08 -2.202991105395422459e+09 2.265567278660950184e+09 -2.270697281235936563e+06 -3.748842161704980135e+08
-1.156585004437818564e+07 1.158814722153221810e+05 1.456253128990791505e+06 -1.296190277904819697e+07 -2.660223504033587873e+08 -2.270697281235936563e+06 2.203115580109910294e+07 4.623332510340508074e+07
-4.371687680775099248e+07 6.006792867125630379e+06 9.551350762517502531e+06 -6.487883686507914960e+07 -4.277069566722148657e+08 -3.748842161704980135e+08 4.623332510340508074e+07 5.592412416555950642e+08
