# logA mnu nnu ns ombh2 omch2 tau theta
1.710299028566372767e+07 -2.064890611726771574e+06 -3.018367383044986054e+06 2.088993958962282538e+07 2.931622492474866658e+07 1.333543813302650154e+08 -1.959316952556497976e+07 -5.729864538409938663e+07
-2.064890611726771574e+06 4.320874423791122972e+05 4.556488780524239410e+05 -2.705012506118432153e+06 2.724604141709418967e+07 -2.827563518726437539e+07 1.144435325787118869e+06 6.344113077187420800e+06
-3.018367383044986054e+06 4.556488780524239410e+05 6.133849761061461177e+05 -3.964753369466196746e+06 -3.847405262551842025e+05 -3.011008811513752490e+07 2.838530401009514928e+06 1.066888344958020188e+07
2.088993958962282538e+07 -2.705012506118432153e+06 -3.964753369466196746e+06 2.727222587983339280e+07 5.204058785168935359e+07 1.787398224424957037e+08 -2.264229449313349649e+07 -7.456526015505006909e+07
2.931622492474866658e+07 2.724604141709418967e+07 -3.847405262551842025e+05 5.204058785168935359e+07 1.069088379972410393e+10 -1.777451254660847902e+09 -2.408329753190238178e+08 -4.958415519721280932e+08
1.333543813302650154e+08 -2.827563518726437539e+07 -3.011008811513752490e+07 1.787398224424957037e+08 -1.777451254660847902e+09 1.877824947566844702e+09 -7.037713389208306372e+07 -3.831288262355424762e+08
-1.959316952556497976e+07 1.144435325787118869e+06 2.838530401009514928e+06 -2.264229449313349649e+07 -2.408329753190238178e+08 -7.037713389208306372e+07 3.068769560882199183e+07 7.072999440424793959e+07
-5.729864538409938663e+07 6.344113077187420800e+06 1.066888344958020188e+07 -7.456526015505006909e+07 -4.958415519721280932e+08 -3.831288262355424762e+08 7.072999440424793959e+07 5.956502913507208824e+08
