# ells, tt, te, ee, bb
4.800000000000000000e+01 5.608679968715084428e-07 0.000000000000000000e+00 1.121735993743017309e-06 1.121735993743017309e-06
4.900000000000000000e+01 5.608709175002359106e-07 0.000000000000000000e+00 1.121741835000472245e-06 1.121741835000472245e-06
5.000000000000000000e+01 5.608738983611847724e-07 0.000000000000000000e+00 1.121747796722369968e-06 1.121747796722369968e-06
5.100000000000000000e+01 5.608769394551555802e-07 0.000000000000000000e+00 1.121753878910311160e-06 1.121753878910311160e-06
5.200000000000000000e+01 5.608800407829650857e-07 0.000000000000000000e+00 1.121760081565930171e-06 1.121760081565930171e-06
5.300000000000000000e+01 5.608832023454456044e-07 0.000000000000000000e+00 1.121766404690891844e-06 1.121766404690891844e-06
5.400000000000000000e+01 5.608864241434468164e-07 0.000000000000000000e+00 1.121772848286893845e-06 1.121772848286893845e-06
5.500000000000000000e+01 5.608897061778332247e-07 0.000000000000000000e+00 1.121779412355666873e-06 1.121779412355666873e-06
5.600000000000000000e+01 5.608930484494862728e-07 0.000000000000000000e+00 1.121786096898972546e-06 1.121786096898972546e-06
5.700000000000000000e+01 5.608964509593032865e-07 0.000000000000000000e+00 1.121792901918606785e-06 1.121792901918606785e-06
5.800000000000000000e+01 5.608999137081981082e-07 0.000000000000000000e+00 1.121799827416397063e-06 1.121799827416397063e-06
5.900000000000000000e+01 5.609034366971004625e-07 0.000000000000000000e+00 1.121806873394201349e-06 1.121806873394201349e-06
6.000000000000000000e+01 5.609070199269565913e-07 0.000000000000000000e+00 1.121814039853913183e-06 1.121814039853913183e-06
6.100000000000000000e+01 5.609106633987280884e-07 0.000000000000000000e+00 1.121821326797456177e-06 1.121821326797456177e-06
6.200000000000000000e+01 5.609143671133935948e-07 0.000000000000000000e+00 1.121828734226787401e-06 1.121828734226787401e-06
6.300000000000000000e+01 5.609181310719475270e-07 0.000000000000000000e+00 1.121836262143895478e-06 1.121836262143895478e-06
6.400000000000000000e+01 5.609219552754007130e-07 0.000000000000000000e+00 1.121843910550801638e-06 1.121843910550801638e-06
6.500000000000000000e+01 5.609258397247800744e-07 0.000000000000000000e+00 1.121851679449560361e-06 1.121851679449560361e-06
6.600000000000000000e+01 5.609297844211285205e-07 0.000000000000000000e+00 1.121859568842257464e-06 1.121859568842257464e-06
6.700000000000000000e+01 5.609337893655051601e-07 0.000000000000000000e+00 1.121867578731010744e-06 1.121867578731010744e-06
6.800000000000000000e+01 5.609378545589857250e-07 0.000000000000000000e+00 1.121875709117971450e-06 1.121875709117971450e-06
6.900000000000000000e+01 5.609419800026615113e-07 0.000000000000000000e+00 1.121883960005323234e-06 1.121883960005323234e-06
7.000000000000000000e+01 5.609461656976402264e-07 0.000000000000000000e+00 1.121892331395280876e-06 1.121892331395280876e-06
7.100000000000000000e+01 5.609504116450462007e-07 0.000000000000000000e+00 1.121900823290092190e-06 1.121900823290092190e-06
7.200000000000000000e+01 5.609547178460191168e-07 0.000000000000000000e+00 1.121909435692038022e-06 1.121909435692038022e-06
7.300000000000000000e+01 5.609590843017154926e-07 0.000000000000000000e+00 1.121918168603431409e-06 1.121918168603431409e-06
7.400000000000000000e+01 5.609635110133078332e-07 0.000000000000000000e+00 1.121927022026615666e-06 1.121927022026615666e-06
7.500000000000000000e+01 5.609679979819847378e-07 0.000000000000000000e+00 1.121935995963969687e-06 1.121935995963969687e-06
7.600000000000000000e+01 5.609725452089513224e-07 0.000000000000000000e+00 1.121945090417902433e-06 1.121945090417902433e-06
7.700000000000000000e+01 5.609771526954279497e-07 0.000000000000000000e+00 1.121954305390856323e-06 1.121954305390856323e-06
7.800000000000000000e+01 5.609818204426524525e-07 0.000000000000000000e+00 1.121963640885304905e-06 1.121963640885304905e-06
7.900000000000000000e+01 5.609865484518780161e-07 0.000000000000000000e+00 1.121973096903756032e-06 1.121973096903756032e-06
8.000000000000000000e+01 5.609913367243739193e-07 0.000000000000000000e+00 1.121982673448748474e-06 1.121982673448748474e-06
8.100000000000000000e+01 5.609961852614265935e-07 0.000000000000000000e+00 1.121992370522853610e-06 1.121992370522853610e-06
8.200000000000000000e+01 5.610010940643373988e-07 0.000000000000000000e+00 1.122002188128675433e-06 1.122002188128675433e-06
8.300000000000000000e+01 5.610060631344248480e-07 0.000000000000000000e+00 1.122012126268850119e-06 1.122012126268850119e-06
8.400000000000000000e+01 5.610110924730230178e-07 0.000000000000000000e+00 1.122022184946046459e-06 1.122022184946046459e-06
8.500000000000000000e+01 5.610161820814825025e-07 0.000000000000000000e+00 1.122032364162965005e-06 1.122032364162965005e-06
8.600000000000000000e+01 5.610213319611697777e-07 0.000000000000000000e+00 1.122042663922340191e-06 1.122042663922340191e-06
8.700000000000000000e+01 5.610265421134682602e-07 0.000000000000000000e+00 1.122053084226936520e-06 1.122053084226936520e-06
8.800000000000000000e+01 5.610318125397760837e-07 0.000000000000000000e+00 1.122063625079552379e-06 1.122063625079552379e-06
8.900000000000000000e+01 5.610371432415094872e-07 0.000000000000000000e+00 1.122074286483019186e-06 1.122074286483019186e-06
9.000000000000000000e+01 5.610425342200991095e-07 0.000000000000000000e+00 1.122085068440198643e-06 1.122085068440198643e-06
9.100000000000000000e+01 5.610479854769929533e-07 0.000000000000000000e+00 1.122095970953986330e-06 1.122095970953986330e-06
9.200000000000000000e+01 5.610534970136550092e-07 0.000000000000000000e+00 1.122106994027310442e-06 1.122106994027310442e-06
9.300000000000000000e+01 5.610590688315647261e-07 0.000000000000000000e+00 1.122118137663130087e-06 1.122118137663130087e-06
9.400000000000000000e+01 5.610647009322191289e-07 0.000000000000000000e+00 1.122129401864438258e-06 1.122129401864438258e-06
9.500000000000000000e+01 5.610703933171294303e-07 0.000000000000000000e+00 1.122140786634259708e-06 1.122140786634259708e-06
9.600000000000000000e+01 5.610761459878254775e-07 0.000000000000000000e+00 1.122152291975650955e-06 1.122152291975650955e-06
9.700000000000000000e+01 5.610819589458507765e-07 0.000000000000000000e+00 1.122163917891701977e-06 1.122163917891701977e-06
9.800000000000000000e+01 5.610878321927673618e-07 0.000000000000000000e+00 1.122175664385534512e-06 1.122175664385534512e-06
9.900000000000000000e+01 5.610937657301514559e-07 0.000000000000000000e+00 1.122187531460303335e-06 1.122187531460303335e-06
1.000000000000000000e+02 5.610997595595972807e-07 0.000000000000000000e+00 1.122199519119194773e-06 1.122199519119194773e-06
1.010000000000000000e+02 5.611058136827136693e-07 0.000000000000000000e+00 1.122211627365427550e-06 1.122211627365427550e-06
1.020000000000000000e+02 5.611119281011265016e-07 0.000000000000000000e+00 1.122223856202253427e-06 1.122223856202253427e-06
1.030000000000000000e+02 5.611181028164777508e-07 0.000000000000000000e+00 1.122236205632955925e-06 1.122236205632955925e-06
1.040000000000000000e+02 5.611243378304256957e-07 0.000000000000000000e+00 1.122248675660851815e-06 1.122248675660851815e-06
1.050000000000000000e+02 5.611306331446444970e-07 0.000000000000000000e+00 1.122261266289288994e-06 1.122261266289288994e-06
1.060000000000000000e+02 5.611369887608245148e-07 0.000000000000000000e+00 1.122273977521649241e-06 1.122273977521649241e-06
1.070000000000000000e+02 5.611434046806725205e-07 0.000000000000000000e+00 1.122286809361345253e-06 1.122286809361345253e-06
1.080000000000000000e+02 5.611498809059115908e-07 0.000000000000000000e+00 1.122299761811822970e-06 1.122299761811822970e-06
1.090000000000000000e+02 5.611564174382802608e-07 0.000000000000000000e+00 1.122312834876561157e-06 1.122312834876561157e-06
1.100000000000000000e+02 5.611630142795346417e-07 0.000000000000000000e+00 1.122326028559069495e-06 1.122326028559069495e-06
1.110000000000000000e+02 5.611696714314456675e-07 0.000000000000000000e+00 1.122339342862891759e-06 1.122339342862891759e-06
1.120000000000000000e+02 5.611763888958011072e-07 0.000000000000000000e+00 1.122352777791602003e-06 1.122352777791602003e-06
1.130000000000000000e+02 5.611831666744046116e-07 0.000000000000000000e+00 1.122366333348809858e-06 1.122366333348809858e-06
1.140000000000000000e+02 5.611900047690767720e-07 0.000000000000000000e+00 1.122380009538154179e-06 1.122380009538154179e-06
1.150000000000000000e+02 5.611969031816534266e-07 0.000000000000000000e+00 1.122393806363307489e-06 1.122393806363307489e-06
1.160000000000000000e+02 5.612038619139874599e-07 0.000000000000000000e+00 1.122407723827974920e-06 1.122407723827974920e-06
1.170000000000000000e+02 5.612108809679468972e-07 0.000000000000000000e+00 1.122421761935894218e-06 1.122421761935894218e-06
1.180000000000000000e+02 5.612179603454174455e-07 0.000000000000000000e+00 1.122435920690834891e-06 1.122435920690834891e-06
1.190000000000000000e+02 5.612251000482996351e-07 0.000000000000000000e+00 1.122450200096599482e-06 1.122450200096599482e-06
1.200000000000000000e+02 5.612323000785105133e-07 0.000000000000000000e+00 1.122464600157021874e-06 1.122464600157021874e-06
1.210000000000000000e+02 5.612395604379843857e-07 0.000000000000000000e+00 1.122479120875969195e-06 1.122479120875969195e-06
1.220000000000000000e+02 5.612468811286703809e-07 0.000000000000000000e+00 1.122493762257341185e-06 1.122493762257341185e-06
1.230000000000000000e+02 5.612542621525345684e-07 0.000000000000000000e+00 1.122508524305069349e-06 1.122508524305069349e-06
1.240000000000000000e+02 5.612617035115588994e-07 0.000000000000000000e+00 1.122523407023118222e-06 1.122523407023118222e-06
1.250000000000000000e+02 5.612692052077418421e-07 0.000000000000000000e+00 1.122538410415484531e-06 1.122538410415484531e-06
1.260000000000000000e+02 5.612767672430979587e-07 0.000000000000000000e+00 1.122553534486195917e-06 1.122553534486195917e-06
1.270000000000000000e+02 5.612843896196577987e-07 0.000000000000000000e+00 1.122568779239316021e-06 1.122568779239316021e-06
1.280000000000000000e+02 5.612920723394684292e-07 0.000000000000000000e+00 1.122584144678937494e-06 1.122584144678937494e-06
1.290000000000000000e+02 5.612998154045930106e-07 0.000000000000000000e+00 1.122599630809186233e-06 1.122599630809186233e-06
1.300000000000000000e+02 5.613076188171107970e-07 0.000000000000000000e+00 1.122615237634221594e-06 1.122615237634221594e-06
1.310000000000000000e+02 5.613154825791174538e-07 0.000000000000000000e+00 1.122630965158235119e-06 1.122630965158235119e-06
1.320000000000000000e+02 5.613234066927245284e-07 0.000000000000000000e+00 1.122646813385449057e-06 1.122646813385449057e-06
1.330000000000000000e+02 5.613313911600604026e-07 0.000000000000000000e+00 1.122662782320120593e-06 1.122662782320120593e-06
1.340000000000000000e+02 5.613394359832684934e-07 0.000000000000000000e+00 1.122678871966537622e-06 1.122678871966537622e-06
1.350000000000000000e+02 5.613475411645103231e-07 0.000000000000000000e+00 1.122695082329021070e-06 1.122695082329021070e-06
1.360000000000000000e+02 5.613557067059618133e-07 0.000000000000000000e+00 1.122711413411924050e-06 1.122711413411924050e-06
1.370000000000000000e+02 5.613639326098159323e-07 0.000000000000000000e+00 1.122727865219631653e-06 1.122727865219631653e-06
1.380000000000000000e+02 5.613722188782815304e-07 0.000000000000000000e+00 1.122744437756563484e-06 1.122744437756563484e-06
1.390000000000000000e+02 5.613805655135842924e-07 0.000000000000000000e+00 1.122761131027168797e-06 1.122761131027168797e-06
1.400000000000000000e+02 5.613889725179657852e-07 0.000000000000000000e+00 1.122777945035931359e-06 1.122777945035931359e-06
1.410000000000000000e+02 5.613974398936828223e-07 0.000000000000000000e+00 1.122794879787365645e-06 1.122794879787365645e-06
1.420000000000000000e+02 5.614059676430102164e-07 0.000000000000000000e+00 1.122811935286020856e-06 1.122811935286020856e-06
1.430000000000000000e+02 5.614145557682379211e-07 0.000000000000000000e+00 1.122829111536475842e-06 1.122829111536475842e-06
1.440000000000000000e+02 5.614232042716717719e-07 0.000000000000000000e+00 1.122846408543343967e-06 1.122846408543343967e-06
1.450000000000000000e+02 5.614319131556352860e-07 0.000000000000000000e+00 1.122863826311270360e-06 1.122863826311270360e-06
1.460000000000000000e+02 5.614406824224661685e-07 0.000000000000000000e+00 1.122881364844933184e-06 1.122881364844933184e-06
1.470000000000000000e+02 5.614495120745204415e-07 0.000000000000000000e+00 1.122899024149041095e-06 1.122899024149041095e-06
1.480000000000000000e+02 5.614584021141687385e-07 0.000000000000000000e+00 1.122916804228337900e-06 1.122916804228337900e-06
1.490000000000000000e+02 5.614673525437989512e-07 0.000000000000000000e+00 1.122934705087597902e-06 1.122934705087597902e-06
1.500000000000000000e+02 5.614763633658140063e-07 0.000000000000000000e+00 1.122952726731628436e-06 1.122952726731628436e-06
1.510000000000000000e+02 5.614854345826347239e-07 0.000000000000000000e+00 1.122970869165269236e-06 1.122970869165269236e-06
1.520000000000000000e+02 5.614945661966967472e-07 0.000000000000000000e+00 1.122989132393393494e-06 1.122989132393393494e-06
1.530000000000000000e+02 5.615037582104522366e-07 0.000000000000000000e+00 1.123007516420904685e-06 1.123007516420904685e-06
1.540000000000000000e+02 5.615130106263703991e-07 0.000000000000000000e+00 1.123026021252740798e-06 1.123026021252740798e-06
1.550000000000000000e+02 5.615223234469355822e-07 0.000000000000000000e+00 1.123044646893871376e-06 1.123044646893871376e-06
1.560000000000000000e+02 5.615316966746488626e-07 0.000000000000000000e+00 1.123063393349298149e-06 1.123063393349298149e-06
1.570000000000000000e+02 5.615411303120279397e-07 0.000000000000000000e+00 1.123082260624055668e-06 1.123082260624055668e-06
1.580000000000000000e+02 5.615506243616054421e-07 0.000000000000000000e+00 1.123101248723211731e-06 1.123101248723211731e-06
1.590000000000000000e+02 5.615601788259318918e-07 0.000000000000000000e+00 1.123120357651864631e-06 1.123120357651864631e-06
1.600000000000000000e+02 5.615697937075733752e-07 0.000000000000000000e+00 1.123139587415146962e-06 1.123139587415146962e-06
1.610000000000000000e+02 5.615794690091114370e-07 0.000000000000000000e+00 1.123158938018222874e-06 1.123158938018222874e-06
1.620000000000000000e+02 5.615892047331447742e-07 0.000000000000000000e+00 1.123178409466289548e-06 1.123178409466289548e-06
1.630000000000000000e+02 5.615990008822879657e-07 0.000000000000000000e+00 1.123198001764576990e-06 1.123198001764576990e-06
1.640000000000000000e+02 5.616088574591723195e-07 0.000000000000000000e+00 1.123217714918344427e-06 1.123217714918344427e-06
1.650000000000000000e+02 5.616187744664444958e-07 0.000000000000000000e+00 1.123237548932888992e-06 1.123237548932888992e-06
1.660000000000000000e+02 5.616287519067680957e-07 0.000000000000000000e+00 1.123257503813536403e-06 1.123257503813536403e-06
1.670000000000000000e+02 5.616387897828226019e-07 0.000000000000000000e+00 1.123277579565645416e-06 1.123277579565645416e-06
