# ells, tt, te, ee, bb
2.100000000000000000e+01 2.348281821354296249e-08 0.000000000000000000e+00 4.696563642708593822e-08 1.121623810388336824e-06
2.200000000000000000e+01 2.348282017055009859e-08 0.000000000000000000e+00 4.696564034110019718e-08 1.121626399592742995e-06
2.300000000000000000e+01 2.348282221858095692e-08 0.000000000000000000e+00 4.696564443716191384e-08 1.121629109230597113e-06
2.400000000000000000e+01 2.348282435763555402e-08 0.000000000000000000e+00 4.696564871527110142e-08 1.121631939302625720e-06
2.500000000000000000e+01 2.348282658771391967e-08 0.000000000000000000e+00 4.696565317542783934e-08 1.121634889809589239e-06
2.600000000000000000e+01 2.348282890881608365e-08 0.000000000000000000e+00 4.696565781763216730e-08 1.121637960752279225e-06
2.700000000000000000e+01 2.348283132094203934e-08 0.000000000000000000e+00 4.696566264188409854e-08 1.121641152131521956e-06
2.800000000000000000e+01 2.348283382409184300e-08 0.000000000000000000e+00 4.696566764818369923e-08 1.121644463948172936e-06
2.900000000000000000e+01 2.348283641826549130e-08 0.000000000000000000e+00 4.696567283653099584e-08 1.121647896203121551e-06
3.000000000000000000e+01 2.348283910346302396e-08 0.000000000000000000e+00 4.696567820692605455e-08 1.121651448897289371e-06
3.100000000000000000e+01 2.348284187968446083e-08 0.000000000000000000e+00 4.696568375936892829e-08 1.121655122031630579e-06
3.200000000000000000e+01 2.348284474692982177e-08 0.000000000000000000e+00 4.696568949385964353e-08 1.121658915607131758e-06
3.300000000000000000e+01 2.348284770519914646e-08 0.000000000000000000e+00 4.696569541039829954e-08 1.121662829624810828e-06
3.400000000000000000e+01 2.348285075449245147e-08 0.000000000000000000e+00 4.696570150898491617e-08 1.121666864085719593e-06
3.500000000000000000e+01 2.348285389480977318e-08 0.000000000000000000e+00 4.696570778961954636e-08 1.121671018990940773e-06
3.600000000000000000e+01 2.348285712615113145e-08 0.000000000000000000e+00 4.696571425230225628e-08 1.121675294341589486e-06
3.700000000000000000e+01 2.348286044851656929e-08 0.000000000000000000e+00 4.696572089703313858e-08 1.121679690138815157e-06
3.800000000000000000e+01 2.348286386190610655e-08 0.000000000000000000e+00 4.696572772381221310e-08 1.121684206383797279e-06
3.900000000000000000e+01 2.348286736631977963e-08 0.000000000000000000e+00 4.696573473263956589e-08 1.121688843077747532e-06
4.000000000000000000e+01 2.348287096175762162e-08 0.000000000000000000e+00 4.696574192351525648e-08 1.121693600221912961e-06
4.100000000000000000e+01 2.348287464821965568e-08 0.000000000000000000e+00 4.696574929643931136e-08 1.121698477817569409e-06
4.200000000000000000e+01 2.348287842570593474e-08 0.000000000000000000e+00 4.696575685141188272e-08 1.121703475866027448e-06
4.300000000000000000e+01 2.348288229421648528e-08 0.000000000000000000e+00 4.696576458843297057e-08 1.121708594368628142e-06
4.400000000000000000e+01 2.348288625375134039e-08 0.000000000000000000e+00 4.696577250750268740e-08 1.121713833326747073e-06
4.500000000000000000e+01 2.348289030431053976e-08 0.000000000000000000e+00 4.696578060862107952e-08 1.121719192741789893e-06
4.600000000000000000e+01 2.348289444589412642e-08 0.000000000000000000e+00 4.696578889178824622e-08 1.121724672615196558e-06
4.700000000000000000e+01 2.348289867850212352e-08 0.000000000000000000e+00 4.696579735700426027e-08 1.121730272948437515e-06
4.800000000000000000e+01 2.348290300213459723e-08 0.000000000000000000e+00 4.696580600426917461e-08 1.121735993743017309e-06
4.900000000000000000e+01 2.348290741679154757e-08 0.000000000000000000e+00 4.696581483358312160e-08 1.121741835000472245e-06
5.000000000000000000e+01 2.348291192247306385e-08 0.000000000000000000e+00 4.696582384494612771e-08 1.121747796722369968e-06
5.100000000000000000e+01 2.348291651917914940e-08 0.000000000000000000e+00 4.696583303835829881e-08 1.121753878910311160e-06
5.200000000000000000e+01 2.348292120690986377e-08 0.000000000000000000e+00 4.696584241381973416e-08 1.121760081565930171e-06
5.300000000000000000e+01 2.348292598566525659e-08 0.000000000000000000e+00 4.696585197133050656e-08 1.121766404690891844e-06
5.400000000000000000e+01 2.348293085544534771e-08 0.000000000000000000e+00 4.696586171089071527e-08 1.121772848286893845e-06
5.500000000000000000e+01 2.348293581625021654e-08 0.000000000000000000e+00 4.696587163250043308e-08 1.121779412355666873e-06
5.600000000000000000e+01 2.348294086807988293e-08 0.000000000000000000e+00 4.696588173615976587e-08 1.121786096898972546e-06
5.700000000000000000e+01 2.348294601093440314e-08 0.000000000000000000e+00 4.696589202186881290e-08 1.121792901918606785e-06
5.800000000000000000e+01 2.348295124481382348e-08 0.000000000000000000e+00 4.696590248962767344e-08 1.121799827416397063e-06
5.900000000000000000e+01 2.348295656971819690e-08 0.000000000000000000e+00 4.696591313943640703e-08 1.121806873394201349e-06
6.000000000000000000e+01 2.348296198564757963e-08 0.000000000000000000e+00 4.696592397129513942e-08 1.121814039853913183e-06
6.100000000000000000e+01 2.348296749260200147e-08 0.000000000000000000e+00 4.696593498520400956e-08 1.121821326797456177e-06
6.200000000000000000e+01 2.348297309058152528e-08 0.000000000000000000e+00 4.696594618116307040e-08 1.121828734226787401e-06
6.300000000000000000e+01 2.348297877958620729e-08 0.000000000000000000e+00 4.696595755917244106e-08 1.121836262143895478e-06
6.400000000000000000e+01 2.348298455961610047e-08 0.000000000000000000e+00 4.696596911923220093e-08 1.121843910550801638e-06
6.500000000000000000e+01 2.348299043067125773e-08 0.000000000000000000e+00 4.696598086134250223e-08 1.121851679449560361e-06
6.600000000000000000e+01 2.348299639275172541e-08 0.000000000000000000e+00 4.696599278550345082e-08 1.121859568842257464e-06
6.700000000000000000e+01 2.348300244585756307e-08 0.000000000000000000e+00 4.696600489171513937e-08 1.121867578731010744e-06
6.800000000000000000e+01 2.348300858998882363e-08 0.000000000000000000e+00 4.696601717997768697e-08 1.121875709117971450e-06
6.900000000000000000e+01 2.348301482514557329e-08 0.000000000000000000e+00 4.696602965029115981e-08 1.121883960005323234e-06
7.000000000000000000e+01 2.348302115132788482e-08 0.000000000000000000e+00 4.696604230265576963e-08 1.121892331395280876e-06
7.100000000000000000e+01 2.348302756853578139e-08 0.000000000000000000e+00 4.696605513707158263e-08 1.121900823290092190e-06
7.200000000000000000e+01 2.348303407676935564e-08 0.000000000000000000e+00 4.696606815353870467e-08 1.121909435692038022e-06
7.300000000000000000e+01 2.348304067602864067e-08 0.000000000000000000e+00 4.696608135205728134e-08 1.121918168603431409e-06
7.400000000000000000e+01 2.348304736631371588e-08 0.000000000000000000e+00 4.696609473262741852e-08 1.121927022026615666e-06
7.500000000000000000e+01 2.348305414762462759e-08 0.000000000000000000e+00 4.696610829524926841e-08 1.121935995963969687e-06
7.600000000000000000e+01 2.348306101996146844e-08 0.000000000000000000e+00 4.696612203992293689e-08 1.121945090417902433e-06
7.700000000000000000e+01 2.348306798332427153e-08 0.000000000000000000e+00 4.696613596664854968e-08 1.121954305390856323e-06
7.800000000000000000e+01 2.348307503771310965e-08 0.000000000000000000e+00 4.696615007542621930e-08 1.121963640885304905e-06
7.900000000000000000e+01 2.348308218312806551e-08 0.000000000000000000e+00 4.696616436625613102e-08 1.121973096903756032e-06
8.000000000000000000e+01 2.348308941956919205e-08 0.000000000000000000e+00 4.696617883913838411e-08 1.121982673448748474e-06
8.100000000000000000e+01 2.348309674703656207e-08 0.000000000000000000e+00 4.696619349407312415e-08 1.121992370522853610e-06
8.200000000000000000e+01 2.348310416553022851e-08 0.000000000000000000e+00 4.696620833106045701e-08 1.122002188128675433e-06
8.300000000000000000e+01 2.348311167505027407e-08 0.000000000000000000e+00 4.696622335010057462e-08 1.122012126268850119e-06
8.400000000000000000e+01 2.348311927559677818e-08 0.000000000000000000e+00 4.696623855119356299e-08 1.122022184946046459e-06
8.500000000000000000e+01 2.348312696716980039e-08 0.000000000000000000e+00 4.696625393433960079e-08 1.122032364162965005e-06
8.600000000000000000e+01 2.348313474976940688e-08 0.000000000000000000e+00 4.696626949953881375e-08 1.122042663922340191e-06
8.700000000000000000e+01 2.348314262339567373e-08 0.000000000000000000e+00 4.696628524679133423e-08 1.122053084226936520e-06
8.800000000000000000e+01 2.348315058804868368e-08 0.000000000000000000e+00 4.696630117609737399e-08 1.122063625079552379e-06
8.900000000000000000e+01 2.348315864372850621e-08 0.000000000000000000e+00 4.696631728745701242e-08 1.122074286483019186e-06
9.000000000000000000e+01 2.348316679043521079e-08 0.000000000000000000e+00 4.696633358087042159e-08 1.122085068440198643e-06
9.100000000000000000e+01 2.348317502816887354e-08 0.000000000000000000e+00 4.696635005633776031e-08 1.122095970953986330e-06
9.200000000000000000e+01 2.348318335692958047e-08 0.000000000000000000e+00 4.696636671385915432e-08 1.122106994027310442e-06
9.300000000000000000e+01 2.348319177671740438e-08 0.000000000000000000e+00 4.696638355343480876e-08 1.122118137663130087e-06
9.400000000000000000e+01 2.348320028753241806e-08 0.000000000000000000e+00 4.696640057506484935e-08 1.122129401864438258e-06
9.500000000000000000e+01 2.348320888937471084e-08 0.000000000000000000e+00 4.696641777874941506e-08 1.122140786634259708e-06
9.600000000000000000e+01 2.348321758224436214e-08 0.000000000000000000e+00 4.696643516448872428e-08 1.122152291975650955e-06
9.700000000000000000e+01 2.348322636614144475e-08 0.000000000000000000e+00 4.696645273228288949e-08 1.122163917891701977e-06
9.800000000000000000e+01 2.348323524106604799e-08 0.000000000000000000e+00 4.696647048213208937e-08 1.122175664385534512e-06
9.900000000000000000e+01 2.348324420701824468e-08 0.000000000000000000e+00 4.696648841403648935e-08 1.122187531460303335e-06
1.000000000000000000e+02 2.348325326399813736e-08 0.000000000000000000e+00 4.696650652799627473e-08 1.122199519119194773e-06
1.010000000000000000e+02 2.348326241200578230e-08 0.000000000000000000e+00 4.696652482401157784e-08 1.122211627365427550e-06
1.020000000000000000e+02 2.348327165104130523e-08 0.000000000000000000e+00 4.696654330208261046e-08 1.122223856202253427e-06
1.030000000000000000e+02 2.348328098110474584e-08 0.000000000000000000e+00 4.696656196220950492e-08 1.122236205632955925e-06
1.040000000000000000e+02 2.348329040219622657e-08 0.000000000000000000e+00 4.696658080439247299e-08 1.122248675660851815e-06
1.050000000000000000e+02 2.348329991431582350e-08 0.000000000000000000e+00 4.696659982863166024e-08 1.122261266289288994e-06
1.060000000000000000e+02 2.348330951746361606e-08 0.000000000000000000e+00 4.696661903492724536e-08 1.122273977521649241e-06
1.070000000000000000e+02 2.348331921163971674e-08 0.000000000000000000e+00 4.696663842327943348e-08 1.122286809361345253e-06
1.080000000000000000e+02 2.348332899684419171e-08 0.000000000000000000e+00 4.696665799368837680e-08 1.122299761811822970e-06
1.090000000000000000e+02 2.348333887307714024e-08 0.000000000000000000e+00 4.696667774615429371e-08 1.122312834876561157e-06
1.100000000000000000e+02 2.348334884033867150e-08 0.000000000000000000e+00 4.696669768067734300e-08 1.122326028559069495e-06
1.110000000000000000e+02 2.348335889862884176e-08 0.000000000000000000e+00 4.696671779725770999e-08 1.122339342862891759e-06
1.120000000000000000e+02 2.348336904794777674e-08 0.000000000000000000e+00 4.696673809589557995e-08 1.122352777791602003e-06
1.130000000000000000e+02 2.348337928829556247e-08 0.000000000000000000e+00 4.696675857659113817e-08 1.122366333348809858e-06
