# ells, tt, te, ee, bb
2.800000000000000000e+01 1.540727796302922651e-06 0.000000000000000000e+00 3.081455592605844455e-06 3.081455592605844455e-06
2.900000000000000000e+01 1.540732511830865639e-06 0.000000000000000000e+00 3.081465023661732125e-06 3.081465023661732125e-06
3.000000000000000000e+01 1.540737392828602391e-06 0.000000000000000000e+00 3.081474785657205205e-06 3.081474785657205205e-06
3.100000000000000000e+01 1.540742439297443055e-06 0.000000000000000000e+00 3.081484878594887804e-06 3.081484878594887804e-06
3.200000000000000000e+01 1.540747651238743732e-06 0.000000000000000000e+00 3.081495302477487887e-06 3.081495302477487887e-06
3.300000000000000000e+01 1.540753028653903296e-06 0.000000000000000000e+00 3.081506057307807862e-06 3.081506057307807862e-06
3.400000000000000000e+01 1.540758571544366362e-06 0.000000000000000000e+00 3.081517143088733994e-06 3.081517143088733994e-06
3.500000000000000000e+01 1.540764279911622437e-06 0.000000000000000000e+00 3.081528559823247415e-06 3.081528559823247415e-06
3.600000000000000000e+01 1.540770153757204016e-06 0.000000000000000000e+00 3.081540307514408455e-06 3.081540307514408455e-06
3.700000000000000000e+01 1.540776193082688697e-06 0.000000000000000000e+00 3.081552386165377818e-06 3.081552386165377818e-06
3.800000000000000000e+01 1.540782397889698973e-06 0.000000000000000000e+00 3.081564795779397946e-06 3.081564795779397946e-06
3.900000000000000000e+01 1.540788768179900533e-06 0.000000000000000000e+00 3.081577536359802760e-06 3.081577536359802760e-06
4.000000000000000000e+01 1.540795303955005654e-06 0.000000000000000000e+00 3.081590607910011732e-06 3.081590607910011732e-06
4.100000000000000000e+01 1.540802005216768543e-06 0.000000000000000000e+00 3.081604010433537509e-06 3.081604010433537509e-06
4.200000000000000000e+01 1.540808871966990202e-06 0.000000000000000000e+00 3.081617743933979980e-06 3.081617743933979980e-06
4.300000000000000000e+01 1.540815904207513352e-06 0.000000000000000000e+00 3.081631808415025856e-06 3.081631808415025856e-06
4.400000000000000000e+01 1.540823101940227723e-06 0.000000000000000000e+00 3.081646203880456292e-06 3.081646203880456292e-06
4.500000000000000000e+01 1.540830465167066667e-06 0.000000000000000000e+00 3.081660930334133335e-06 3.081660930334133335e-06
