# ells, tt, te, ee, bb
3.000000000000000000e+01 1.692398020950847639e-07 0.000000000000000000e+00 3.384796041901696337e-07 3.384796041901696337e-07
3.100000000000000000e+01 1.692403377005176386e-07 0.000000000000000000e+00 3.384806754010353830e-07 3.384806754010353830e-07
3.200000000000000000e+01 1.692408908682445560e-07 0.000000000000000000e+00 3.384817817364892178e-07 3.384817817364892178e-07
3.300000000000000000e+01 1.692414615984068648e-07 0.000000000000000000e+00 3.384829231968137296e-07 3.384829231968137296e-07
3.400000000000000000e+01 1.692420498911502283e-07 0.000000000000000000e+00 3.384840997823005624e-07 3.384840997823005624e-07
3.500000000000000000e+01 1.692426557466250741e-07 0.000000000000000000e+00 3.384853114932502011e-07 3.384853114932502011e-07
3.600000000000000000e+01 1.692432791649860123e-07 0.000000000000000000e+00 3.384865583299722363e-07 3.384865583299722363e-07
3.700000000000000000e+01 1.692439201463924703e-07 0.000000000000000000e+00 3.384878402927849935e-07 3.384878402927849935e-07
3.800000000000000000e+01 1.692445786910081373e-07 0.000000000000000000e+00 3.384891573820162745e-07 3.384891573820162745e-07
3.900000000000000000e+01 1.692452547990010963e-07 0.000000000000000000e+00 3.384905095980022985e-07 3.384905095980022985e-07
4.000000000000000000e+01 1.692459484705442215e-07 0.000000000000000000e+00 3.384918969410885489e-07 3.384918969410885489e-07
4.100000000000000000e+01 1.692466597058147546e-07 0.000000000000000000e+00 3.384933194116295621e-07 3.384933194116295621e-07
4.200000000000000000e+01 1.692473885049942781e-07 0.000000000000000000e+00 3.384947770099886621e-07 3.384947770099886621e-07
4.300000000000000000e+01 1.692481348682689277e-07 0.000000000000000000e+00 3.384962697365379613e-07 3.384962697365379613e-07
4.400000000000000000e+01 1.692488987958294445e-07 0.000000000000000000e+00 3.384977975916590479e-07 3.384977975916590479e-07
4.500000000000000000e+01 1.692496802878709903e-07 0.000000000000000000e+00 3.384993605757420864e-07 3.384993605757420864e-07
4.600000000000000000e+01 1.692504793445931736e-07 0.000000000000000000e+00 3.385009586891864530e-07 3.385009586891864530e-07
4.700000000000000000e+01 1.692512959662002087e-07 0.000000000000000000e+00 3.385025919324005233e-07 3.385025919324005233e-07
4.800000000000000000e+01 1.692521301529004659e-07 0.000000000000000000e+00 3.385042603058010376e-07 3.385042603058010376e-07
4.900000000000000000e+01 1.692529819049072914e-07 0.000000000000000000e+00 3.385059638098147946e-07 3.385059638098147946e-07
5.000000000000000000e+01 1.692538512224382141e-07 0.000000000000000000e+00 3.385077024448764281e-07 3.385077024448764281e-07
5.100000000000000000e+01 1.692547381057151299e-07 0.000000000000000000e+00 3.385094762114303657e-07 3.385094762114303657e-07
5.200000000000000000e+01 1.692556425549648585e-07 0.000000000000000000e+00 3.385112851099298229e-07 3.385112851099298229e-07
5.300000000000000000e+01 1.692565645704182958e-07 0.000000000000000000e+00 3.385131291408365916e-07 3.385131291408365916e-07
5.400000000000000000e+01 1.692575041523109433e-07 0.000000000000000000e+00 3.385150083046219925e-07 3.385150083046219925e-07
5.500000000000000000e+01 1.692584613008829615e-07 0.000000000000000000e+00 3.385169226017660818e-07 3.385169226017660818e-07
5.600000000000000000e+01 1.692594360163787986e-07 0.000000000000000000e+00 3.385188720327575972e-07 3.385188720327575972e-07
5.700000000000000000e+01 1.692604282990473501e-07 0.000000000000000000e+00 3.385208565980949120e-07 3.385208565980949120e-07
5.800000000000000000e+01 1.692614381491422229e-07 0.000000000000000000e+00 3.385228762982846575e-07 3.385228762982846575e-07
5.900000000000000000e+01 1.692624655669214973e-07 0.000000000000000000e+00 3.385249311338431006e-07 3.385249311338431006e-07
6.000000000000000000e+01 1.692635105526473831e-07 0.000000000000000000e+00 3.385270211052948720e-07 3.385270211052948720e-07
6.100000000000000000e+01 1.692645731065869602e-07 0.000000000000000000e+00 3.385291462131740262e-07 3.385291462131740262e-07
6.200000000000000000e+01 1.692656532290117027e-07 0.000000000000000000e+00 3.385313064580234583e-07 3.385313064580234583e-07
6.300000000000000000e+01 1.692667509201974258e-07 0.000000000000000000e+00 3.385335018403948515e-07 3.385335018403948515e-07
6.400000000000000000e+01 1.692678661804246561e-07 0.000000000000000000e+00 3.385357323608492592e-07 3.385357323608492592e-07
6.500000000000000000e+01 1.692689990099782085e-07 0.000000000000000000e+00 3.385379980199564169e-07 3.385379980199564169e-07
6.600000000000000000e+01 1.692701494091475564e-07 0.000000000000000000e+00 3.385402988182952188e-07 3.385402988182952188e-07
6.700000000000000000e+01 1.692713173782265146e-07 0.000000000000000000e+00 3.385426347564531880e-07 3.385426347564531880e-07
6.800000000000000000e+01 1.692725029175134502e-07 0.000000000000000000e+00 3.385450058350269004e-07 3.385450058350269004e-07
6.900000000000000000e+01 1.692737060273113100e-07 0.000000000000000000e+00 3.385474120546226729e-07 3.385474120546226729e-07
7.000000000000000000e+01 1.692749267079273815e-07 0.000000000000000000e+00 3.385498534158548689e-07 3.385498534158548689e-07
7.100000000000000000e+01 1.692761649596733995e-07 0.000000000000000000e+00 3.385523299193469048e-07 3.385523299193469048e-07
7.200000000000000000e+01 1.692774207828658630e-07 0.000000000000000000e+00 3.385548415657317260e-07 3.385548415657317260e-07
