# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.070063312024650259e+03 2.760359817415163342e+00 3.255461838282701359e-02 0.000000000000000000e+00 7.895919233052495571e-08
3.000000000000000000e+00 5.066487150690993531e+02 1.547946884702957160e+00 2.093008862066501885e-02 0.000000000000000000e+00 9.601147081245468952e-08
4.000000000000000000e+00 2.877394149612782712e+02 8.714381881423746146e-01 1.092201999597181006e-02 0.000000000000000000e+00 1.105785112528425244e-07
5.000000000000000000e+00 1.836914399743925799e+02 4.949601926529211271e-01 4.878143810390363905e-03 0.000000000000000000e+00 1.232084233440606271e-07
6.000000000000000000e+00 1.272296833529351545e+02 2.850935381087115195e-01 1.954323152549468715e-03 0.000000000000000000e+00 1.342257485364682504e-07
7.000000000000000000e+00 9.364812390213459992e+01 1.681831794518107714e-01 7.909038577647641921e-04 0.000000000000000000e+00 1.439213539419393813e-07
8.000000000000000000e+00 7.189630834876290066e+01 1.031477283856723354e-01 3.941982283082500816e-04 0.000000000000000000e+00 1.524990756222077998e-07
9.000000000000000000e+00 5.719003940619403181e+01 6.773601094323929150e-02 2.517890972977515456e-04 0.000000000000000000e+00 1.601313440888615881e-07
1.000000000000000000e+01 4.676048737581477610e+01 4.861785748051734163e-02 1.753179633215177721e-04 0.000000000000000000e+00 1.669269065843919586e-07
1.100000000000000000e+01 3.908588704976645545e+01 3.839636912427388943e-02 1.227164017726125299e-04 0.000000000000000000e+00 1.730336852242869476e-07
1.200000000000000000e+01 3.321545223960880833e+01 3.279226130280948198e-02 9.041170739537811318e-05 0.000000000000000000e+00 1.784578116336185211e-07
1.300000000000000000e+01 2.871839809967531565e+01 2.947899052515149873e-02 7.428537567839164555e-05 0.000000000000000000e+00 1.833604052723968049e-07
1.400000000000000000e+01 2.511906852490625752e+01 2.718117621355650021e-02 6.690713223095623452e-05 0.000000000000000000e+00 1.877250204469195058e-07
