# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.070063312017012322e+03 2.760359817415275252e+00 3.255461838282699971e-02 0.000000000000000000e+00 7.895919231624067150e-08
3.000000000000000000e+00 5.066487150624895435e+02 1.547946884703068626e+00 2.093008862066504314e-02 0.000000000000000000e+00 9.601146930826731053e-08
4.000000000000000000e+00 2.877394149610956333e+02 8.714381881423667320e-01 1.092201999597178230e-02 0.000000000000000000e+00 1.105785075131990503e-07
5.000000000000000000e+00 1.836914399783498482e+02 4.949601926529303975e-01 4.878143810390363037e-03 0.000000000000000000e+00 1.232084226820185109e-07
6.000000000000000000e+00 1.272296833522791530e+02 2.850935381087060794e-01 1.954323152549469148e-03 0.000000000000000000e+00 1.342257500319420823e-07
7.000000000000000000e+00 9.364812390066481385e+01 1.681831794518044987e-01 7.909038577647643006e-04 0.000000000000000000e+00 1.439213546373834477e-07
8.000000000000000000e+00 7.189630834841965168e+01 1.031477283856725852e-01 3.941982283082499190e-04 0.000000000000000000e+00 1.524990754789915221e-07
9.000000000000000000e+00 5.719003940717831114e+01 6.773601094321754501e-02 2.517890972977513829e-04 0.000000000000000000e+00 1.601313457526012414e-07
1.000000000000000000e+01 4.676048737551500523e+01 4.861785748051467015e-02 1.753179633215175824e-04 0.000000000000000000e+00 1.669269091886447299e-07
1.100000000000000000e+01 3.908588704878899733e+01 3.839636912426579868e-02 1.227164017726124214e-04 0.000000000000000000e+00 1.730336868846181139e-07
1.200000000000000000e+01 3.321545223895360976e+01 3.279226130280425699e-02 9.041170739537811318e-05 0.000000000000000000e+00 1.784578128221610972e-07
1.300000000000000000e+01 2.871839813841791411e+01 2.947899052495652275e-02 7.428537567839312277e-05 0.000000000000000000e+00 1.833604083449870364e-07
1.400000000000000000e+01 2.511906849613509607e+01 2.718117621374133500e-02 6.690713223095368664e-05 0.000000000000000000e+00 1.877250251609708360e-07
