# ells, tt, te, ee, bb, kk
1.500000000000000000e+01 2.218420767819473127e+01 2.533681445016508840e-02 6.401310284791658309e-05 8.841185771677820644e-07 1.916673994423128856e-07
1.600000000000000000e+01 1.979049306535702968e+01 2.379175334550073448e-02 6.236262892032915590e-05 8.844653705689355314e-07 1.952069783054025551e-07
1.700000000000000000e+01 1.781856441352584852e+01 2.244842558086274434e-02 6.299694385398962632e-05 8.848233562806730516e-07 1.983457815840271999e-07
1.800000000000000000e+01 1.615988987293452439e+01 2.121719582818190619e-02 6.595519303966205604e-05 8.851909104611166562e-07 2.011773569573435532e-07
1.900000000000000000e+01 1.476205499578760616e+01 2.018185690417094447e-02 7.072462813294559583e-05 8.855663908637438374e-07 2.037090448314657145e-07
2.000000000000000000e+01 1.355384304168186560e+01 1.932417692454255903e-02 7.646700837602503722e-05 8.859481458696177141e-07 2.059466950037880271e-07
2.100000000000000000e+01 1.250448857724737728e+01 1.857329353555370668e-02 8.266705677803131878e-05 8.863345266987912526e-07 2.079275162074164505e-07
2.200000000000000000e+01 1.158888708044388416e+01 1.789807848334424092e-02 8.919515966640527589e-05 8.867238968268077986e-07 2.096898969305549621e-07
2.300000000000000000e+01 1.078458305989645005e+01 1.727870537647088062e-02 9.599450442276321889e-05 8.871146424928892245e-07 2.112526141883571734e-07
2.400000000000000000e+01 1.007307302692519180e+01 1.663946997392143010e-02 1.028521328966063687e-04 8.875051827150567739e-07 2.125889072106100891e-07
2.500000000000000000e+01 9.442636695650433509e+00 1.599129616837180468e-02 1.096286051679594740e-04 8.878939800004487983e-07 2.137581985613866543e-07
2.600000000000000000e+01 8.879287030948999515e+00 1.534614075326139540e-02 1.164458508319010823e-04 8.882795477560397531e-07 2.147725885688381060e-07
2.700000000000000000e+01 8.372932651634791057e+00 1.468258882866515722e-02 1.233280259172929113e-04 8.886604589483317202e-07 2.156203629822044079e-07
2.800000000000000000e+01 7.917436798992190106e+00 1.403223046815019193e-02 1.302406462923682824e-04 8.890353564461696426e-07 2.163262914252344924e-07
2.900000000000000000e+01 7.504754731100462983e+00 1.336905407868416509e-02 1.372907556510601524e-04 8.894029603861446924e-07 2.169046596911077106e-07
3.000000000000000000e+01 7.131606597160835115e+00 1.268228702645426628e-02 1.445146810354872198e-04 8.897620716474020944e-07 2.173691842111809556e-07
3.100000000000000000e+01 6.789767275544478231e+00 1.204516976991101135e-02 1.518822243013303512e-04 8.901115833871062788e-07 2.176848708914300584e-07
3.200000000000000000e+01 6.477142383681925963e+00 1.143012156089330544e-02 1.593872350149814717e-04 8.904504818887282837e-07 2.179170117947587509e-07
3.300000000000000000e+01 6.192194801537002746e+00 1.081971621654270049e-02 1.668706609155791345e-04 8.907778548919002136e-07 2.180615998309707263e-07
3.400000000000000000e+01 5.927818988765729991e+00 1.023987395769655404e-02 1.743119758672109787e-04 8.910928927628299075e-07 2.180960793863326454e-07
3.500000000000000000e+01 5.684689739021304256e+00 9.649844734652905653e-03 1.818330463223875274e-04 8.913948950766774047e-07 2.180530463080980787e-07
3.600000000000000000e+01 5.461382188326619591e+00 9.054238952122902265e-03 1.893944250014123010e-04 8.916832685746060260e-07 2.179507708899075350e-07
3.700000000000000000e+01 5.251778637379613812e+00 8.480910247036238178e-03 1.969764920640686286e-04 8.919575319918081278e-07 2.177521742495262440e-07
3.800000000000000000e+01 5.057598151806902642e+00 7.907927726252634779e-03 2.045141457766700191e-04 8.922173141612344442e-07 2.174850369356406567e-07
3.900000000000000000e+01 4.877808571435889640e+00 7.331113455351013185e-03 2.119976367382228946e-04 8.924623569516891177e-07 2.171577223991936732e-07
4.000000000000000000e+01 4.710404381300905108e+00 6.753600552168346864e-03 2.194348989943290527e-04 8.926925130928909191e-07 2.167678343783947962e-07
4.100000000000000000e+01 4.553718988832957670e+00 6.178342600826625293e-03 2.268469724198026425e-04 8.929077422074483028e-07 2.163167286128516407e-07
4.200000000000000000e+01 4.406919397685754802e+00 5.609005181252299001e-03 2.343037917935688306e-04 8.931081101575997521e-07 2.158198699509900793e-07
4.300000000000000000e+01 4.269245416424366724e+00 5.049147367024505763e-03 2.418483438912706770e-04 8.932937862667310949e-07 2.152897813969945126e-07
4.400000000000000000e+01 4.139701602680492698e+00 4.502684561598605147e-03 2.494080898506854937e-04 8.934650368773839495e-07 2.147133651888911784e-07
4.500000000000000000e+01 4.017540346332921786e+00 3.971041055642419298e-03 2.569052577563282519e-04 8.936222224477606123e-07 2.140782271781032844e-07
4.600000000000000000e+01 3.902480656472435694e+00 3.447987363995492615e-03 2.643216237331940874e-04 8.937657912420532375e-07 2.133994038257885371e-07
4.700000000000000000e+01 3.794252747354582400e+00 2.927691063651728480e-03 2.716510436657500302e-04 8.938962741222759432e-07 2.126939778985777157e-07
4.800000000000000000e+01 3.692294879760570581e+00 2.409755233907085511e-03 2.789019835237608789e-04 8.940142775490505149e-07 2.119584363357407699e-07
4.900000000000000000e+01 3.595973889677737567e+00 1.895567301993686697e-03 2.860835861696876229e-04 8.941204758634234495e-07 2.111874526943186993e-07
5.000000000000000000e+01 3.504475002317388288e+00 1.388422406243218369e-03 2.932125736248117104e-04 8.942156060875090037e-07 2.103890986772676694e-07
5.100000000000000000e+01 3.417226730463825302e+00 8.905431626687280305e-04 3.002942927037680109e-04 8.943004566593833003e-07 2.095713151235747969e-07
