# ells, tt, te, ee, bb, kk
1.500000000000000000e+01 2.218382071452746018e+01 2.533689105095875832e-02 6.329149241620271702e-05 1.624136796364781205e-07 1.918609299308193888e-07
1.600000000000000000e+01 1.979010717545802578e+01 2.379183904086068155e-02 6.164099623550527705e-05 1.627117695246495777e-07 1.954076142548396043e-07
1.700000000000000000e+01 1.781817966161511535e+01 2.244852065091141810e-02 6.227529140008038514e-05 1.630184637804764298e-07 1.985529332349828609e-07
1.800000000000000000e+01 1.615950627695581687e+01 2.121730050581613694e-02 6.523352394635021766e-05 1.633322185844368448e-07 2.013905215916004900e-07
1.900000000000000000e+01 1.476167260847960350e+01 2.018197137205232986e-02 7.000294619776312416e-05 1.636514748738259358e-07 2.039277161239910123e-07
2.000000000000000000e+01 1.355346194545777294e+01 1.932430131498785036e-02 7.574531808258143373e-05 1.639746686054284434e-07 2.061703733332706211e-07
2.100000000000000000e+01 1.250410881627392001e+01 1.857342792858681854e-02 8.194536331317621761e-05 1.643002413608779996e-07 2.081557470246596007e-07
2.200000000000000000e+01 1.158850870785418152e+01 1.789822290627960180e-02 8.847346893391024860e-05 1.646266504138481583e-07 2.099222697691886491e-07
2.300000000000000000e+01 1.078420612651087396e+01 1.727885980256024800e-02 9.527282305447611413e-05 1.649523789468882602e-07 2.114887433233768930e-07
2.400000000000000000e+01 1.007269757580028369e+01 1.663963432242106938e-02 1.021304682610458913e-04 1.652759457344716549e-07 2.128283812718589408e-07
2.500000000000000000e+01 9.442262778739056728e+00 1.599147030330011141e-02 1.089069653771789436e-04 1.655959147122957621e-07 2.140006772868058634e-07
2.600000000000000000e+01 8.878914689007240568e+00 1.534632448403853468e-02 1.157242447440797036e-04 1.659109037186212715e-07 2.150177500376690836e-07
2.700000000000000000e+01 8.372561931783041089e+00 1.468278190922066989e-02 1.226064631364775039e-04 1.662195931298500662e-07 2.158678794717558691e-07
2.800000000000000000e+01 7.917067742275257558e+00 1.403243259786303258e-02 1.295191371674313350e-04 1.665207340460876985e-07 2.165758717461718126e-07
2.900000000000000000e+01 7.504387380173946909e+00 1.336926490198019242e-02 1.365693112720342843e-04 1.668131554366374964e-07 2.171560336595285755e-07
3.000000000000000000e+01 7.131240988981194739e+00 1.268250613408077390e-02 1.437933132239173134e-04 1.670957707112473345e-07 2.176221018527728500e-07
3.100000000000000000e+01 6.789403450655747463e+00 1.204539669871619242e-02 1.511609456029836744e-04 1.673675841141162690e-07 2.179390421167659770e-07
3.200000000000000000e+01 6.476780375810171186e+00 1.143035579562318681e-02 1.586660586857012521e-04 1.676276956450013777e-07 2.181722268201699349e-07
3.300000000000000000e+01 6.191834648284700648e+00 1.081995718984731826e-02 1.661496009082097586e-04 1.678753056266773333e-07 2.183176478601486170e-07
3.400000000000000000e+01 5.927460721393885024e+00 1.024012105224295609e-02 1.735910468132118207e-04 1.681097185492607354e-07 2.183527261774747720e-07
3.500000000000000000e+01 5.684333391933639845e+00 9.650097283403533122e-03 1.811122635148337432e-04 1.683303456914339544e-07 2.183101017020678606e-07
3.600000000000000000e+01 5.461027789682490585e+00 9.054496240745677285e-03 1.886738043714130514e-04 1.685367072133173779e-07 2.182080718860851469e-07
3.700000000000000000e+01 5.251426219597917999e+00 8.481171514438333101e-03 1.962560501580653768e-04 1.687284336627911940e-07 2.180095180253053772e-07
3.800000000000000000e+01 5.057247742166714133e+00 7.908192167017442931e-03 2.037938997300182910e-04 1.689052655817484199e-07 2.177422576753545338e-07
3.900000000000000000e+01 4.877460195722200353e+00 7.331380221189592004e-03 2.112776042495414380e-04 1.690670534255492416e-07 2.174146682350971229e-07
4.000000000000000000e+01 4.710058065384527204e+00 6.753868753619668951e-03 2.187150982966744252e-04 1.692137564958433041e-07 2.170243545610836888e-07
4.100000000000000000e+01 4.553374758222394014e+00 6.178611309205898385e-03 2.261274222483738918e-04 1.693454404858856205e-07 2.165726779072644901e-07
4.200000000000000000e+01 4.406577276409665345e+00 5.609273430718337422e-03 2.335845113543575172e-04 1.694622740352309329e-07 2.160751253152852351e-07
4.300000000000000000e+01 4.268905427034938249e+00 5.049414156632802547e-03 2.411293528276558737e-04 1.695645262689940508e-07 2.155442381165505200e-07
4.400000000000000000e+01 4.139363766857569793e+00 4.502948857373756733e-03 2.486894082076550870e-04 1.696525611186905575e-07 2.149669051175897406e-07
4.500000000000000000e+01 4.017204685007433440e+00 3.971301792705795967e-03 2.561869059446428613e-04 1.697268329959602068e-07 2.143307196728263561e-07
4.600000000000000000e+01 3.902147189727622756e+00 3.448243448720870064e-03 2.636036224916655851e-04 1.697878810131820063e-07 2.136507400945451509e-07
4.700000000000000000e+01 3.793921494469785216e+00 2.927941375860408646e-03 2.709334140235307941e-04 1.698363225348135486e-07 2.129440734950703802e-07
4.800000000000000000e+01 3.691965859321513221e+00 2.409998629093785313e-03 2.781847467611445169e-04 1.698728465659383659e-07 2.122072052602571379e-07
4.900000000000000000e+01 3.595647119649005852e+00 1.895802613531279634e-03 2.853667637775147091e-04 1.698982064542599678e-07 2.114348049302308700e-07
5.000000000000000000e+01 3.504150500103860200e+00 1.388648447561679046e-03 2.924961872652305029e-04 1.699132124895363877e-07 2.106349563249912744e-07
5.100000000000000000e+01 3.416904512965169172e+00 8.907587294491956659e-04 2.995783641673366911e-04 1.699187235746029866e-07 2.098156125372075913e-07
5.200000000000000000e+01 3.334052212202147203e+00 3.997574888704742550e-04 3.065902188570428710e-04 1.699156395395746103e-07 2.089707250574486669e-07
5.300000000000000000e+01 3.255733901914852790e+00 -8.684413373042871914e-05 3.135064538872501757e-04 1.699048922393045593e-07 2.080943664642076598e-07
5.400000000000000000e+01 3.181620454347478866e+00 -5.689567416155040525e-04 3.203389280929268734e-04 1.698874375072471775e-07 2.071932474922355590e-07
5.500000000000000000e+01 3.111244640225775626e+00 -1.045624763306858898e-03 3.271050901382260997e-04 1.698642463689238872e-07 2.062756312495917824e-07
5.600000000000000000e+01 3.044148671451374355e+00 -1.514702007234342614e-03 3.337941136335303700e-04 1.698362969256282093e-07 2.053429791581821500e-07
5.700000000000000000e+01 2.979919985697500717e+00 -1.974052675322416923e-03 3.403935646261785266e-04 1.698045653376577609e-07 2.043949575775209082e-07
5.800000000000000000e+01 2.918361299459821367e+00 -2.422041949466520374e-03 3.468771583609398597e-04 1.697700180558505235e-07 2.034318854679397762e-07
5.900000000000000000e+01 2.859354262127935975e+00 -2.858492191744007194e-03 3.532267480745758591e-04 1.697336036988576015e-07 2.024544561381236053e-07
6.000000000000000000e+01 2.803034559584868024e+00 -3.287861930753454339e-03 3.594457251795030476e-04 1.696962453087753276e-07 2.014639301952709729e-07
6.100000000000000000e+01 2.749507402928784039e+00 -3.714096761779756960e-03 3.655425556888751816e-04 1.696588329078196812e-07 2.004617823155199204e-07
6.200000000000000000e+01 2.698534134211417967e+00 -4.136379698654170899e-03 3.715151892355764780e-04 1.696222166540561022e-07 1.994490578007116235e-07
6.300000000000000000e+01 2.649839827584985930e+00 -4.552990993761587592e-03 3.773609690384206110e-04 1.695872002254732150e-07 1.984267518356995710e-07
6.400000000000000000e+01 2.603153586648561557e+00 -4.962422736930251384e-03 3.830768015253009271e-04 1.695545347422030534e-07 1.973957214876888510e-07
6.500000000000000000e+01 2.558263613962124872e+00 -5.363452693630486705e-03 3.886635867793247030e-04 1.695249134640321040e-07 1.963570752301061848e-07
6.600000000000000000e+01 2.515020170500782637e+00 -5.755340694775490894e-03 3.941140261089655632e-04 1.694989668667988155e-07 1.953117379350515234e-07
6.700000000000000000e+01 2.473306890372591216e+00 -6.137527488289789938e-03 3.994261171554587628e-04 1.694772581955240950e-07 1.942607477861170412e-07
6.800000000000000000e+01 2.433041242605042065e+00 -6.509792106600384258e-03 4.045946538179649200e-04 1.694602800237238245e-07 1.932050020154440800e-07
6.900000000000000000e+01 2.394232076846620316e+00 -6.872934615649365503e-03 4.096151577207357238e-04 1.694484513177124148e-07 1.921450399351403220e-07
7.000000000000000000e+01 2.356925713545761081e+00 -7.228159743373463106e-03 4.144841852604707125e-04 1.694421148918951799e-07 1.910813063408836058e-07
7.100000000000000000e+01 2.321132516385121747e+00 -7.576605423204717076e-03 4.192017620803037696e-04 1.694415359883942727e-07 1.900142688645226583e-07
7.200000000000000000e+01 2.286876042129857289e+00 -7.919276319545216075e-03 4.237673689196629631e-04 1.694469014725560881e-07 1.889443955920298713e-07
7.300000000000000000e+01 2.254139379061808501e+00 -8.256824342349724372e-03 4.281791511645261492e-04 1.694583193003175698e-07 1.878721551576354085e-07
7.400000000000000000e+01 2.222786361248604070e+00 -8.588633357937828713e-03 4.324290529762900379e-04 1.694758192384146881e-07 1.867980601889642978e-07
7.500000000000000000e+01 2.192666566367258874e+00 -8.913649380959280666e-03 4.365103700712055930e-04 1.694993537565235705e-07 1.857224839863452291e-07
7.600000000000000000e+01 2.163559392069913212e+00 -9.230558138916024336e-03 4.404189241452599753e-04 1.695288000225751730e-07 1.846460646648102911e-07
7.700000000000000000e+01 2.135294699934304319e+00 -9.538211525257047491e-03 4.441553584619592856e-04 1.695639620489162486e-07 1.835693866120851898e-07
7.800000000000000000e+01 2.107861523514725111e+00 -9.836881142294178620e-03 4.477190728488632406e-04 1.696045737879169316e-07 1.824929280782086913e-07
7.900000000000000000e+01 2.081307474480722064e+00 -1.012712441078058613e-02 4.511105926270517707e-04 1.696503025595778086e-07 1.814173172689745987e-07
8.000000000000000000e+01 2.055652314637532285e+00 -1.040960439099644468e-02 4.543307112511107103e-04 1.697007532464269738e-07 1.803431185608419220e-07
8.100000000000000000e+01 2.030898236020292291e+00 -1.068458332774160913e-02 4.573804560380288612e-04 1.697554725919969040e-07 1.792708551838994500e-07
8.200000000000000000e+01 2.006979745802314863e+00 -1.095170403882622309e-02 4.602616977183257726e-04 1.698139543482418795e-07 1.782010898887926251e-07
8.300000000000000000e+01 1.983826450639120997e+00 -1.121096057914511800e-02 4.629722270746607494e-04 1.698756443653715108e-07 1.771340807481532878e-07
8.400000000000000000e+01 1.961401888749078504e+00 -1.146217358217583096e-02 4.655102826126122201e-04 1.699399464416292816e-07 1.760699387729926338e-07
8.500000000000000000e+01 1.939665349886557921e+00 -1.170551252464708918e-02 4.678739086290064513e-04 1.700062281191862446e-07 1.750089813608208017e-07
8.600000000000000000e+01 1.918584937432356918e+00 -1.194083229601394097e-02 4.700634775008522286e-04 1.700738268500312542e-07 1.739512806404216568e-07
8.700000000000000000e+01 1.898118384148834492e+00 -1.216819621284735004e-02 4.720771627945304061e-04 1.701420562556704700e-07 1.728971137397976258e-07
8.800000000000000000e+01 1.878238136319956286e+00 -1.238767418991255573e-02 4.739141650548717643e-04 1.702102126022483018e-07 1.718466364761622381e-07
8.900000000000000000e+01 1.858941478313570039e+00 -1.259940011829053554e-02 4.755740195662685652e-04 1.702775811994750679e-07 1.708000859957628650e-07
9.000000000000000000e+01 1.840216070183419816e+00 -1.280359042610779499e-02 4.770534360899944797e-04 1.703434428203846495e-07 1.697576568136250149e-07
9.100000000000000000e+01 1.822042448129546965e+00 -1.300016439442516596e-02 4.783536020650412603e-04 1.704070801164571811e-07 1.687195130790847117e-07
9.200000000000000000e+01 1.804393402598463148e+00 -1.318924713176516765e-02 4.794745008157061503e-04 1.704677838149496638e-07 1.676858564553463213e-07
9.300000000000000000e+01 1.787253961005901726e+00 -1.337074999585372188e-02 4.804163633077015798e-04 1.705248588777415587e-07 1.666568694930574378e-07
9.400000000000000000e+01 1.770594027446591223e+00 -1.354481094297030168e-02 4.811812101026965386e-04 1.705776303198283532e-07 1.656327935404418563e-07
9.500000000000000000e+01 1.754400697214329563e+00 -1.371136169988776410e-02 4.817690820230877049e-04 1.706254487707761772e-07 1.646137540756220446e-07
9.600000000000000000e+01 1.738646475842942740e+00 -1.387039933884737924e-02 4.821812472335841745e-04 1.706676958124226338e-07 1.636000124831042088e-07
9.700000000000000000e+01 1.723310434635386024e+00 -1.402193065408049479e-02 4.824186029383812171e-04 1.707037888778393930e-07 1.625917531836242575e-07
9.800000000000000000e+01 1.708378346181219642e+00 -1.416598121962273776e-02 4.824816553376900293e-04 1.707331857575658403e-07 1.615891333937725258e-07
9.900000000000000000e+01 1.693820665662442160e+00 -1.430257585185284314e-02 4.823718098680578091e-04 1.707553887417343647e-07 1.605922178508149289e-07
1.000000000000000000e+02 1.679633527377782931e+00 -1.443175593016227456e-02 4.820919014838926644e-04 1.707699482708905695e-07 1.596010624129832624e-07
1.010000000000000000e+02 1.665799341209456941e+00 -1.455356827549874991e-02 4.816429320950373376e-04 1.707764660642864288e-07 1.586156859207099024e-07
1.020000000000000000e+02 1.652305902687234873e+00 -1.466819782054252716e-02 4.810215775874454158e-04 1.707745978650776734e-07 1.576360897377096884e-07
1.030000000000000000e+02 1.639132836488865097e+00 -1.477551852813581770e-02 4.802380304805778789e-04 1.707640555330866645e-07 1.566624048399298745e-07
1.040000000000000000e+02 1.626269493497550345e+00 -1.487567830804056163e-02 4.792847996755667190e-04 1.707446087252431012e-07 1.556945966236722210e-07
1.050000000000000000e+02 1.613701489272371337e+00 -1.496869598398998039e-02 4.781677149325844786e-04 1.707160859924969813e-07 1.547327232347287522e-07
1.060000000000000000e+02 1.601415186981168137e+00 -1.505455539940012653e-02 4.768882346547182556e-04 1.706783753459682500e-07 1.537768248826617053e-07
1.070000000000000000e+02 1.589397653013409073e+00 -1.513337018030978635e-02 4.754519183818125996e-04 1.706314243250755657e-07 1.528269422658760162e-07
1.080000000000000000e+02 1.577632650770208533e+00 -1.520517361585390498e-02 4.738561536409127478e-04 1.705752395087755251e-07 1.518831343431423847e-07
1.090000000000000000e+02 1.566116533333790750e+00 -1.526996469928807408e-02 4.721064604577478543e-04 1.705098855715928834e-07 1.509454777959441973e-07
1.100000000000000000e+02 1.554834200329794358e+00 -1.532786406639802083e-02 4.702004726577264796e-04 1.704354837939784916e-07 1.500139435640960578e-07
1.110000000000000000e+02 1.543775143659231963e+00 -1.537895296342246115e-02 4.681436503883083344e-04 1.703522101588087082e-07 1.490886444144212173e-07
1.120000000000000000e+02 1.532933064926788491e+00 -1.542320278482028385e-02 4.659412155200999116e-04 1.702602929752192253e-07 1.481695877896110949e-07
1.130000000000000000e+02 1.522298276105895409e+00 -1.546077443704936029e-02 4.635909177272126355e-04 1.701600100950909292e-07 1.472568341854391361e-07
1.140000000000000000e+02 1.511861564030442695e+00 -1.549168148852421954e-02 4.610943567582979257e-04 1.700516857716328422e-07 1.463504441474769126e-07
1.150000000000000000e+02 1.501614139782830870e+00 -1.551601155066638198e-02 4.584601539877004102e-04 1.699356871504509681e-07 1.454504516534822299e-07
1.160000000000000000e+02 1.491550983668355368e+00 -1.553384818366327150e-02 4.556895978778038587e-04 1.698124204584383454e-07 1.445568867206322839e-07
1.170000000000000000e+02 1.481663847233567255e+00 -1.554524022228072691e-02 4.527806298334938022e-04 1.696823269277421789e-07 1.436697021132894586e-07
1.180000000000000000e+02 1.471941554705181288e+00 -1.555023876938103206e-02 4.497414178539706382e-04 1.695458785003602116e-07 1.427888686321685810e-07
1.190000000000000000e+02 1.462380063886263626e+00 -1.554896230792302859e-02 4.465731648689553156e-04 1.694035733376205158e-07 1.419144577772917744e-07
1.200000000000000000e+02 1.452972248677930622e+00 -1.554146248435936233e-02 4.432803164419841591e-04 1.692559312004449255e-07 1.410464072289501719e-07
1.210000000000000000e+02 1.443711319092959355e+00 -1.552779266152582056e-02 4.398639698599510575e-04 1.691034887348352267e-07 1.401847220884613467e-07
1.220000000000000000e+02 1.434587693108226647e+00 -1.550806991706762256e-02 4.363283610995539997e-04 1.689467946992714422e-07 1.393294402084164249e-07
1.230000000000000000e+02 1.425598411261929099e+00 -1.548234742849142684e-02 4.326775501011052567e-04 1.687864051997742031e-07 1.384805012750263544e-07
1.240000000000000000e+02 1.416737585618988549e+00 -1.545067965832749510e-02 4.289124181812630442e-04 1.686228789456059777e-07 1.376379596252014918e-07
1.250000000000000000e+02 1.407996635977607491e+00 -1.541318145289780929e-02 4.250398053801718898e-04 1.684567726007951534e-07 1.368017722052521269e-07
1.260000000000000000e+02 1.399373259476534237e+00 -1.536993571745413553e-02 4.210603732043000482e-04 1.682886362445518937e-07 1.359719290912053599e-07
1.270000000000000000e+02 1.390859466100338615e+00 -1.532099577036488344e-02 4.169805635815269419e-04 1.681190090119048407e-07 1.351484842422083523e-07
1.280000000000000000e+02 1.382450502333015807e+00 -1.526647233594226154e-02 4.128008433534686083e-04 1.679484149040416882e-07 1.343313959521709553e-07
1.290000000000000000e+02 1.374144611766998203e+00 -1.520644557010311301e-02 4.085272888822854978e-04 1.677773588565438657e-07 1.335206707256781289e-07
1.300000000000000000e+02 1.365934589915988040e+00 -1.514096726388008442e-02 4.041601945949044056e-04 1.676063230577335597e-07 1.327163151276051560e-07
1.310000000000000000e+02 1.357813597324035060e+00 -1.507014387414303165e-02 3.997053005816256525e-04 1.674357635647309000e-07 1.319183202948442544e-07
1.320000000000000000e+02 1.349783161335023074e+00 -1.499405298518474879e-02 3.951680678567873499e-04 1.672661072388095059e-07 1.311266869830362955e-07
1.330000000000000000e+02 1.341834361066546188e+00 -1.491279886695813690e-02 3.905484613827483607e-04 1.670977490289394840e-07 1.303413911939100395e-07
1.340000000000000000e+02 1.333966528462394496e+00 -1.482643188178060963e-02 3.858568253397057181e-04 1.669310495806008448e-07 1.295624180143801445e-07
1.350000000000000000e+02 1.326173897229883103e+00 -1.473510449244240170e-02 3.810902386497836357e-04 1.667663332959342696e-07 1.287896766082974719e-07
1.360000000000000000e+02 1.318455995850216000e+00 -1.463883830299050719e-02 3.762560174014991841e-04 1.666038866926581859e-07 1.280231829079531510e-07
1.370000000000000000e+02 1.310807395143472220e+00 -1.453773087794311622e-02 3.713561637698387682e-04 1.664439572185245553e-07 1.272628770937499473e-07
1.380000000000000000e+02 1.303225365075021847e+00 -1.443190159095311328e-02 3.663974734952557218e-04 1.662867524382396655e-07 1.265087149791915338e-07
1.390000000000000000e+02 1.295704890690158262e+00 -1.432144199790479251e-02 3.613815976547871795e-04 1.661324396189941806e-07 1.257607119003783618e-07
1.400000000000000000e+02 1.288248294655529147e+00 -1.420644133310086828e-02 3.563124939122032505e-04 1.659811457358017509e-07 1.250187940676158971e-07
1.410000000000000000e+02 1.280848407720029947e+00 -1.408700989251488074e-02 3.511985935514882811e-04 1.658329578194339962e-07 1.242829326053301040e-07
1.420000000000000000e+02 1.273503021331835461e+00 -1.396320851752480725e-02 3.460386936289537628e-04 1.656879237184089888e-07 1.235530986961955231e-07
1.430000000000000000e+02 1.266212283538934225e+00 -1.383516525181978547e-02 3.408384839817853043e-04 1.655460532114543894e-07 1.228292635807964584e-07
1.440000000000000000e+02 1.258969597278996488e+00 -1.370295888193773064e-02 3.356033670208156136e-04 1.654073194641793085e-07 1.221113842005678635e-07
1.450000000000000000e+02 1.251775310507390992e+00 -1.356664423714560100e-02 3.303340626186432338e-04 1.652716608028439101e-07 1.213994321579327004e-07
1.460000000000000000e+02 1.244621026912981598e+00 -1.342636248140760546e-02 3.250377951781928485e-04 1.651389828013302736e-07 1.206934074936271922e-07
1.470000000000000000e+02 1.237505213714277019e+00 -1.328214215022133562e-02 3.197192721687974748e-04 1.650091606295444169e-07 1.199932249828197400e-07
1.480000000000000000e+02 1.230424282523072455e+00 -1.313409706912305186e-02 3.143808464904383542e-04 1.648820416708923369e-07 1.192989129971213226e-07
1.490000000000000000e+02 1.223374717303309378e+00 -1.298229448451280674e-02 3.090268401860745816e-04 1.647574483317175655e-07 1.186103686632622667e-07
1.500000000000000000e+02 1.216352780380791199e+00 -1.282679671774619203e-02 3.036613345518931789e-04 1.646351810615741201e-07 1.179275978068383383e-07
1.510000000000000000e+02 1.209352785064021329e+00 -1.266770461075814730e-02 2.982881987333825210e-04 1.645150215000708990e-07 1.172505178331077426e-07
1.520000000000000000e+02 1.202377355915894119e+00 -1.250511564123377162e-02 2.929111055128919092e-04 1.643967357852068523e-07 1.165790468336754454e-07
1.530000000000000000e+02 1.195423027653844228e+00 -1.233912405538952102e-02 2.875355216583016832e-04 1.642800779066506208e-07 1.159131854075700029e-07
1.540000000000000000e+02 1.188490412471810975e+00 -1.216986010127540062e-02 2.821666337688793721e-04 1.641647931035713554e-07 1.152528109140048964e-07
1.550000000000000000e+02 1.181578150728277432e+00 -1.199739112989353824e-02 2.768055011847516626e-04 1.640506213633905473e-07 1.145979236719388791e-07
1.560000000000000000e+02 1.174688753032458122e+00 -1.182183983520570907e-02 2.714588429835819482e-04 1.639373008026659145e-07 1.139484423705554054e-07
1.570000000000000000e+02 1.167817067070034964e+00 -1.164328661957477438e-02 2.661273896147469406e-04 1.638245710591442130e-07 1.133043130268193036e-07
1.580000000000000000e+02 1.160965620575221235e+00 -1.146182789228649031e-02 2.608192593572432804e-04 1.637121765725340605e-07 1.126654551821046650e-07
1.590000000000000000e+02 1.154131302743389487e+00 -1.127755665922908039e-02 2.555348187342319647e-04 1.635998697803974315e-07 1.120318813364487116e-07
1.600000000000000000e+02 1.147312959927661691e+00 -1.109058077800675716e-02 2.502798407492242078e-04 1.634874141467891750e-07 1.114034582972991434e-07
1.610000000000000000e+02 1.140505908685634617e+00 -1.090096828479389206e-02 2.450580128702448384e-04 1.633745870401304916e-07 1.107801590150361958e-07
1.620000000000000000e+02 1.133709223339589567e+00 -1.070883813265297718e-02 2.398728281386898085e-04 1.632611824077825127e-07 1.101619559022600509e-07
1.630000000000000000e+02 1.126922018344447052e+00 -1.051423481681765075e-02 2.347310862310291932e-04 1.631470132389793008e-07 1.095487434420642498e-07
1.640000000000000000e+02 1.120139996862579812e+00 -1.031728803331376579e-02 2.296323415322181827e-04 1.630319137740129392e-07 1.089404942763422889e-07
1.650000000000000000e+02 1.113364177086911599e+00 -1.011805415004789731e-02 2.245812629189617858e-04 1.629157414856681395e-07 1.083371550021431314e-07
1.660000000000000000e+02 1.106592212560513877e+00 -9.916639184828072648e-03 2.195822871292452518e-04 1.627983787570567875e-07 1.077386773535504958e-07
1.670000000000000000e+02 1.099823741609256222e+00 -9.713131715790636680e-03 2.146396595209942707e-04 1.626797343029775305e-07 1.071450208633391957e-07
1.680000000000000000e+02 1.093058470364430601e+00 -9.507667174009649599e-03 2.097574123481075136e-04 1.625597442800245319e-07 1.065561630189673974e-07
1.690000000000000000e+02 1.086296117197272482e+00 -9.300326754502102541e-03 2.049393644800279299e-04 1.624383731049978516e-07 1.059721063058562965e-07
