# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.070064234837027243e+03 2.760359811824240950e+00 3.255572968243120729e-02 1.111299626361245760e-06 7.895919240267681034e-08
3.000000000000000000e+00 5.066496362322681080e+02 1.547946870498624117e+00 2.093120000866512467e-02 1.111387826332718939e-06 9.601147003674683981e-08
4.000000000000000000e+00 2.877403339450697217e+02 8.714381620730720091e-01 1.092313150135303286e-02 1.111504767532910039e-06 1.105785093703325514e-07
5.000000000000000000e+00 1.836923562111958859e+02 4.949601523600463682e-01 4.879255461685340009e-03 1.111649890933218341e-06 1.232084241692354127e-07
6.000000000000000000e+00 1.272305962898219178e+02 2.850934816928629156e-01 1.955434977828184560e-03 1.111822504803464315e-06 1.342257521349085264e-07
7.000000000000000000e+00 9.364903303360496523e+01 1.681831045610802378e-01 7.920158844874739023e-04 1.112021789633294829e-06 1.439213594550910965e-07
8.000000000000000000e+00 7.189721319823838996e+01 1.031476320789584677e-01 3.953104831995714005e-04 1.112246802094325447e-06 1.524990848452683740e-07
9.000000000000000000e+00 5.719093949795635012e+01 6.773589036870782121e-02 2.529016062927802325e-04 1.112496482943222101e-06 1.601313611500611301e-07
1.000000000000000000e+01 4.676138223658371373e+01 4.861771034259126240e-02 1.764307514609996170e-04 1.112769663546921471e-06 1.669269342990236162e-07
1.100000000000000000e+01 3.908677622820074049e+01 3.839619347551900819e-02 1.238294930656448688e-04 1.113065073479671179e-06 1.730337269863035585e-07
1.200000000000000000e+01 3.321633532019149015e+01 3.279205503317869641e-02 9.152512472167174029e-05 1.113381348797036299e-06 1.784578739502868308e-07
1.300000000000000000e+01 2.871927477916220894e+01 2.947875133513773449e-02 7.539914070908528064e-05 1.113717040584180842e-06 1.833604385582817939e-07
1.400000000000000000e+01 2.511993824757867344e+01 2.718090193310740074e-02 6.802126532622026860e-05 1.114070624975650040e-06 1.877250638921556749e-07
