# ells, tt, te, ee, bb, kk
1.500000000000000000e+01 2.218390991971971715e+01 2.533687073463081543e-02 6.354856289504869657e-05 4.195125812987548414e-07 1.916673994423128856e-07
1.600000000000000000e+01 1.979019610750228608e+01 2.379181632713378916e-02 6.189806233717358626e-05 4.198142403852264817e-07 1.952069783054025551e-07
1.700000000000000000e+01 1.781826829987193861e+01 2.244849547005027882e-02 6.253235175778715422e-05 4.201246560296895449e-07 1.983457815840271999e-07
1.800000000000000000e+01 1.615959464599297846e+01 2.121727280070149352e-02 6.549057701205693446e-05 4.204422710118001260e-07 2.011773569573435532e-07
1.900000000000000000e+01 1.476176069696727211e+01 2.018194110005306838e-02 7.025999023607444615e-05 4.207655122684171711e-07 2.037090448314657145e-07
2.000000000000000000e+01 1.355354971125959018e+01 1.932426844706697580e-02 7.600235116605224607e-05 4.210928005441931119e-07 2.059466950037880271e-07
2.100000000000000000e+01 1.250419625434312110e+01 1.857339245038190992e-02 8.220238331769262011e-05 4.214225616098982884e-07 2.079275162074164505e-07
2.200000000000000000e+01 1.158859580300028824e+01 1.789818481778947951e-02 8.873047353519167562e-05 4.217532360120758978e-07 2.096898969305549621e-07
2.300000000000000000e+01 1.078429286466290371e+01 1.727881911890655556e-02 9.552980972535902863e-05 4.220832892669105086e-07 2.112526141883571734e-07
2.400000000000000000e+01 1.007278394944639643e+01 1.663959107332799517e-02 1.023874342694489135e-04 4.224112216678633674e-07 2.125889072106100891e-07
2.500000000000000000e+01 9.442348770259449964e+00 1.599142453402166431e-02 1.091639077844071861e-04 4.227355782841283998e-07 2.137581985613866543e-07
2.600000000000000000e+01 8.879000290764714975e+00 1.534627625454057162e-02 1.159811604046129588e-04 4.230549570472698928e-07 2.147725885688381060e-07
2.700000000000000000e+01 8.372647128563777130e+00 1.468273129502989209e-02 1.228633486986667217e-04 4.233680172373637964e-07 2.156203629822044079e-07
2.800000000000000000e+01 7.917152523734811709e+00 1.403237968921611754e-02 1.297759890740947852e-04 4.236734886015090471e-07 2.163262914252344924e-07
2.900000000000000000e+01 7.504471733161204305e+00 1.336920980444487872e-02 1.368261257616706840e-04 4.239701786312515830e-07 2.169046596911077106e-07
3.000000000000000000e+01 7.131324904862652581e+00 1.268244896762577879e-02 1.440500863344076725e-04 4.242569774577931519e-07 2.173691842111809556e-07
3.100000000000000000e+01 6.789486916047072995e+00 1.204533759839795590e-02 1.514176731735714283e-04 4.245328667057406229e-07 2.176848708914300584e-07
