# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.070066782595397854e+03 2.760359790836289573e+00 3.255653114679912807e-02 1.912764098671222497e-06 7.895919232932432621e-08
3.000000000000000000e+00 5.066521817276328079e+02 1.547946825371867119e+00 2.093200164324026530e-02 1.913023208585431113e-06 9.601147088642104755e-08
4.000000000000000000e+00 2.877428764226851854e+02 8.714380856109171791e-01 1.092393336136533374e-02 1.913367295895042161e-06 1.105785114511723111e-07
5.000000000000000000e+00 1.836948949697325304e+02 4.949600364774870420e-01 4.880057601121373309e-03 1.913795176483016378e-06 1.232084233990929930e-07
6.000000000000000000e+00 1.272331306328087521e+02 2.850933179947752194e-01 1.956237449024828597e-03 1.914305382137967980e-06 1.342257484302093436e-07
7.000000000000000000e+00 9.365156224188339706e+01 1.681828853106320520e-01 7.928187378677684430e-04 1.914896168349002294e-06 1.439213539032029764e-07
8.000000000000000000e+00 7.189973655039865719e+01 1.031473503751253046e-01 3.961137669931680543e-04 1.915565523883931296e-06 1.524990756370129034e-07
9.000000000000000000e+00 5.719345630275154946e+01 6.773553950366421883e-02 2.537053661907231008e-04 1.916311182205051732e-06 1.601313440377784869e-07
1.000000000000000000e+01 4.676389183449029474e+01 4.861728336820358293e-02 1.772350303335307783e-04 1.917130629441065587e-06 1.669269064932755921e-07
1.100000000000000000e+01 3.908927797500658130e+01 3.839568344329101490e-02 1.246343307160167327e-04 1.918021123137815400e-06 1.730336851738234775e-07
1.200000000000000000e+01 3.321882857620093432e+01 3.279145553538583002e-02 9.233055761382905828e-05 1.918979703219831232e-06 1.784578116905558905e-07
1.300000000000000000e+01 2.872175884208365559e+01 2.947805656055087556e-02 7.620520168660930096e-05 1.920003208588657436e-06 1.833604052619402361e-07
1.400000000000000000e+01 2.512241269400957933e+01 2.718010637589709372e-02 6.882798336712181875e-05 1.921088292779413464e-06 1.877250204101409647e-07
