# ells, tt, te, ee, bb, kk
1.500000000000000000e+01 2.218383842894912661e+01 2.533688606697659731e-02 6.335750817933560419e-05 2.284371668048035003e-07 1.916674051361823359e-07
1.600000000000000000e+01 1.979012484778833070e+01 2.379183347228432804e-02 6.170701065756070084e-05 2.287360736903760212e-07 1.952069852150909483e-07
1.700000000000000000e+01 1.781819725491314443e+01 2.244851448190804746e-02 6.234130411878629780e-05 2.290436345604969927e-07 1.983457910117648419e-07
1.800000000000000000e+01 1.615952381472959232e+01 2.121729372352568546e-02 6.529953455319246786e-05 2.293583048095050193e-07 2.011773692319242026e-07
1.900000000000000000e+01 1.476169008532924742e+01 2.018196396702519324e-02 7.006895423661910476e-05 2.296785242866328212e-07 2.037090605490496619e-07
2.000000000000000000e+01 1.355347933501259483e+01 1.932429328211177424e-02 7.581132304820883949e-05 2.300027278544928597e-07 2.059467025060245919e-07
2.100000000000000000e+01 1.250412612842454685e+01 1.857341926559635120e-02 8.201136465030936268e-05 2.303293556164689525e-07 2.079275239907184789e-07
2.200000000000000000e+01 1.158852594765813215e+01 1.789821361528661642e-02 8.853946603631869441e-05 2.306568631159152988e-07 2.096899050903100637e-07
2.300000000000000000e+01 1.078422328524676033e+01 1.727884988886220496e-02 9.533881526401427131e-05 2.309837318284013748e-07 2.112526224724089601e-07
2.400000000000000000e+01 1.007271464476083978e+01 1.663962379587636056e-02 1.021964548674183035e-04 2.313084782257033200e-07 2.125889155023884839e-07
2.500000000000000000e+01 9.442279762975308799e+00 1.599145917675521417e-02 1.089729456175830022e-04 2.316296637540955248e-07 2.137582075359186562e-07
2.600000000000000000e+01 8.878931578181783024e+00 1.534631277510410848e-02 1.157902178028678646e-04 2.319459036411309077e-07 2.147725978436501962e-07
2.700000000000000000e+01 8.372578728431836481e+00 1.468276963842211381e-02 1.226724281455281933e-04 2.322558751142643560e-07 2.156203733009193312e-07
2.800000000000000000e+01 7.917084437760445681e+00 1.403241979057096543e-02 1.295850932059789459e-04 2.325583262136078673e-07 2.163263036359068501e-07
2.900000000000000000e+01 7.504403977916939361e+00 1.336925158630106712e-02 1.366352573677291475e-04 2.328520820018881746e-07 2.169046733158689364e-07
3.000000000000000000e+01 7.131257479053868309e+00 1.268249234303335353e-02 1.438592483524142964e-04 2.331360526860713894e-07 2.173691972417161170e-07
3.100000000000000000e+01 6.789419837461515783e+00 1.204538246779559597e-02 1.512268686899932756e-04 2.334092378436228276e-07 2.176848829073758148e-07
3.200000000000000000e+01 6.476796649446272092e+00 1.143034116523609575e-02 1.587319686073275461e-04 2.336707331427379815e-07 2.179170227303711578e-07
3.300000000000000000e+01 6.191850812688463712e+00 1.081994220272523323e-02 1.662154964921905883e-04 2.339197342577842411e-07 2.180616096390275381e-07
3.400000000000000000e+01 5.927476767290679405e+00 1.024010575584744474e-02 1.736569268400625762e-04 2.341555409556309039e-07 2.180960877994782619e-07
3.500000000000000000e+01 5.684349324106824142e+00 9.650081727277742827e-03 1.811781267193223919e-04 2.343775595487224465e-07 2.180530531347351031e-07
3.600000000000000000e+01 5.461043598195644222e+00 9.054480479006860386e-03 1.887396494442460993e-04 2.345853050057057468e-07 2.179507760283837551e-07
3.700000000000000000e+01 5.251441909004288533e+00 8.481155603119209727e-03 1.963218757485997023e-04 2.347784014622272675e-07 2.177521778424409799e-07
3.800000000000000000e+01 5.057263307649360051e+00 7.908176165988947681e-03 2.038597044470446705e-04 2.349565841118973178e-07 2.174850398314923287e-07
3.900000000000000000e+01 4.877475631882225215e+00 7.331364193303237069e-03 2.113433866630329576e-04 2.351196981458301884e-07 2.171577257901107448e-07
4.000000000000000000e+01 4.710073370093898149e+00 6.753852764242672044e-03 2.187808569408572934e-04 2.352676965448274158e-07 2.167678396730380043e-07
4.100000000000000000e+01 4.553389931325175333e+00 6.178595426175522223e-03 2.261931556238016541e-04 2.354006387867609565e-07 2.163167371832475210e-07
4.200000000000000000e+01 4.406592316653003216e+00 5.609257724413371608e-03 2.336502179301447291e-04 2.355186873845129182e-07 2.158198821240089637e-07
4.300000000000000000e+01 4.268920331972474003e+00 5.049398699845990268e-03 2.411950310438653244e-04 2.356221053772840663e-07 2.152897964622463325e-07
4.400000000000000000e+01 4.139378534411944699e+00 4.502933725097219876e-03 2.487550564778964420e-04 2.357112505466221965e-07 2.147133824220011128e-07
4.500000000000000000e+01 4.017219313602492292e+00 3.971287061952302223e-03 2.562525226586984920e-04 2.357865711797874790e-07 2.140782460553548061e-07
4.600000000000000000e+01 3.902161677682045138e+00 3.448229198336673611e-03 2.636692060184366981e-04 2.358486000750011292e-07 2.133994238645911625e-07
4.700000000000000000e+01 3.793935839971026347e+00 2.927927686377061398e-03 2.709989627133693605e-04 2.358979487965937854e-07 2.126939986696519178e-07
4.800000000000000000e+01 3.691980060745008174e+00 2.409985582621521245e-03 2.782502589488146079e-04 2.359353005152886332e-07 2.119584576708213890e-07
4.900000000000000000e+01 3.595661175558249489e+00 1.895790293592113790e-03 2.854322377853336467e-04 2.359614026099915514e-07 2.111874746225437748e-07
5.000000000000000000e+01 3.504164409042973105e+00 1.388636938871740285e-03 2.925616214056797268e-04 2.359770598658832403e-07 2.103891209664872285e-07
5.100000000000000000e+01 3.416918273454118360e+00 8.907481177683301528e-04 2.996437567457535620e-04 2.359831261220508402e-07 2.095713373497955393e-07
5.200000000000000000e+01 3.334065822863836459e+00 3.997478609084433769e-04 3.066555681751815155e-04 2.359804957653544553e-07 2.087280791816276702e-07
5.300000000000000000e+01 3.255747361478082524e+00 -8.685269047250152269e-05 3.135717582456478119e-04 2.359700960668609085e-07 2.078534229957008852e-07
5.400000000000000000e+01 3.181633761576313280e+00 -5.689641390558350257e-04 3.204041857940515209e-04 2.359528783890810137e-07 2.069540693899640960e-07
5.500000000000000000e+01 3.111257793901658797e+00 -1.045630912923466941e-03 3.271702994896682538e-04 2.359298093823114088e-07 2.060382696422643252e-07
5.600000000000000000e+01 3.044161670366386296e+00 -1.514706820145744499e-03 3.338592729502651356e-04 2.359018638165079938e-07 2.051074810864951228e-07
5.700000000000000000e+01 2.979932828681115531e+00 -1.974056062433886261e-03 3.404586722342059892e-04 2.358700141948197004e-07 2.041613679353972561e-07
5.800000000000000000e+01 2.918373985483328603e+00 -2.422043821673421169e-03 3.469422125998287867e-04 2.358352240813409568e-07 2.032002458251118488e-07
5.900000000000000000e+01 2.859366790220997601e+00 -2.858492460046002832e-03 3.532917473005763899e-04 2.357984394128636935e-07 2.022248046507531288e-07
6.000000000000000000e+01 2.803046928474498323e+00 -3.287860506275459577e-03 3.595106677681336000e-04 2.357605812812806941e-07 2.012363027228175241e-07
6.100000000000000000e+01 2.749519611086622461e+00 -3.714093555899768400e-03 3.656074400383066804e-04 2.357225376563124550e-07 2.002362122812011959e-07
6.200000000000000000e+01 2.698546180252658466e+00 -4.136374623212247387e-03 3.715800137689647992e-04 2.356851575507513271e-07 1.992255753361062537e-07
6.300000000000000000e+01 2.649851710338797073e+00 -4.552983961188411879e-03 3.774257322067850300e-04 2.356492438438495884e-07 1.982053835058528473e-07
6.400000000000000000e+01 2.603165305130230589e+00 -4.962413660348093634e-03 3.831415018102168977e-04 2.356155473581317586e-07 1.971764904486254375e-07
6.500000000000000000e+01 2.558275167347927592e+00 -5.363441486949763540e-03 3.887282226954518914e-04 2.355847616772675680e-07 1.961400009517044164e-07
6.600000000000000000e+01 2.515031558105298881e+00 -5.755327272786926046e-03 3.941785962075226076e-04 2.355575172284689186e-07 1.950968364085057831e-07
6.700000000000000000e+01 2.473318111628215021e+00 -6.137511766752254579e-03 3.994906200258847048e-04 2.355343785947117499e-07 1.940480314010981567e-07
6.800000000000000000e+01 2.433052296996269792e+00 -6.509774002318922254e-03 4.046590880908010140e-04 2.355158398017693340e-07 1.929944800107173044e-07
6.900000000000000000e+01 2.394242963715293104e+00 -6.872914046533669212e-03 4.096795220703016815e-04 2.355023215406998686e-07 1.919367199648532382e-07
7.000000000000000000e+01 2.356936432056928599e+00 -7.228136628511173251e-03 4.145484784070847697e-04 2.354941689937651843e-07 1.908751948707688842e-07
7.100000000000000000e+01 2.321143065541274808e+00 -7.576579682936511982e-03 4.192659827929230438e-04 2.354916499171571896e-07 1.898103711464054357e-07
7.200000000000000000e+01 2.286886420783668328e+00 -7.919247875536026410e-03 4.238315160180520201e-04 2.354949542353613366e-07 1.887427156627441311e-07
7.300000000000000000e+01 2.254149585927577526e+00 -8.256793117656343120e-03 4.282432235215364300e-04 2.355041933195367217e-07 1.876726958377437697e-07
7.400000000000000000e+01 2.222796394912602835e+00 -8.588599277073232993e-03 4.324930495203238709e-04 2.355194004445023250e-07 1.866008230355159700e-07
7.500000000000000000e+01 2.192676425332291679e+00 -8.913612369953713074e-03 4.365742897882174140e-04 2.355405320521319937e-07 1.855274693643215479e-07
7.600000000000000000e+01 2.163569074897252253e+00 -9.230518125374870264e-03 4.404827660808761599e-04 2.355674695219995269e-07 1.844532711670875665e-07
7.700000000000000000e+01 2.135304205267623878e+00 -9.538168438416906592e-03 4.442191217236243815e-04 2.356000212298687959e-07 1.833788110421641551e-07
7.800000000000000000e+01 2.107870850068371826e+00 -9.836834913077033282e-03 4.477827566078305087e-04 2.356379257170804656e-07 1.823045655602557557e-07
7.900000000000000000e+01 2.081316621029311253e+00 -1.012707497184615370e-02 4.511741961203339355e-04 2.356808550673913521e-07 1.812311610917721206e-07
8.000000000000000000e+01 2.055661280006777947e+00 -1.040955167679300485e-02 4.543942337832617925e-04 2.357284191778604443e-07 1.801591602442305850e-07
8.100000000000000000e+01 2.030907019078983744e+00 -1.068452727455559449e-02 4.574438969832147323e-04 2.357801696749368051e-07 1.790890845201977242e-07
8.200000000000000000e+01 2.006988345434681520e+00 -1.095164458483086425e-02 4.603250565220541081e-04 2.358356053128758304e-07 1.780214950370201825e-07
8.300000000000000000e+01 1.983834865660092150e+00 -1.121089766444840000e-02 4.630355032554726554e-04 2.358941770209032525e-07 1.769566490834252394e-07
8.400000000000000000e+01 1.961410117888919835e+00 -1.146210714886795531e-02 4.655734757637397070e-04 2.359552936732550077e-07 1.758946571683304880e-07
8.500000000000000000e+01 1.939673391797076762e+00 -1.170544251684768090e-02 4.679370184200392865e-04 2.360183277731462744e-07 1.748358359799913136e-07
8.600000000000000000e+01 1.918592790692996930e+00 -1.194075865991922614e-02 4.701265036792689925e-04 2.360826216572636183e-07 1.737802571811712063e-07
8.700000000000000000e+01 1.898126047272675976e+00 -1.216811889677744778e-02 4.721401051870944025e-04 2.361474937919598099e-07 1.727281972295781522e-07
8.800000000000000000e+01 1.878245607759638336e+00 -1.238759314435907734e-02 4.739770235690642813e-04 2.362122451140421733e-07 1.716798113909506132e-07
8.900000000000000000e+01 1.858948756467150520e+00 -1.259931529596459120e-02 4.756367941917404593e-04 2.362761653116170228e-07 1.706353361796382646e-07
9.000000000000000000e+01 1.840223153409002999e+00 -1.280350178199112822e-02 4.771161268995750262e-04 2.363385395875590729e-07 1.695949655379986506e-07
9.100000000000000000e+01 1.822049334784816343e+00 -1.300007188582927298e-02 4.784162092160704747e-04 2.363986546493568585e-07 1.685588631440740311e-07
9.200000000000000000e+01 1.804400091051138855e+00 -1.318915071838246654e-02 4.795370245511230024e-04 2.364558050537447870e-07 1.675272301711069575e-07
9.300000000000000000e+01 1.787260449635263981e+00 -1.337064963980679096e-02 4.804788039570892727e-04 2.365092993110258559e-07 1.665002486971555908e-07
9.400000000000000000e+01 1.770600314645260021e+00 -1.354470660886188983e-02 4.812435680832201812e-04 2.365584657106940599e-07 1.654781595418869612e-07
9.500000000000000000e+01 1.754406781390265735e+00 -1.371125335485148117e-02 4.818313578403326711e-04 2.366026578822103225e-07 1.644610877626956277e-07
9.600000000000000000e+01 1.738652355421636875e+00 -1.387028695259909412e-02 4.822434414823508777e-04 2.366412600768640823e-07 1.634492941956519097e-07
9.700000000000000000e+01 1.723316108062198593e+00 -1.402181419897028866e-02 4.824807163033500513e-04 2.366736920953397124e-07 1.624429627843256310e-07
9.800000000000000000e+01 1.708383811921648343e+00 -1.416586067068536722e-02 4.825436885940419121e-04 2.366994137370507848e-07 1.614422503429744442e-07
9.900000000000000000e+01 1.693825922196257272e+00 -1.430245118685311879e-02 4.824337638819274328e-04 2.367179290075262547e-07 1.604472214942641743e-07
1.000000000000000000e+02 1.679638573200362694e+00 -1.443162712964685644e-02 4.821537772127782156e-04 2.367287897118702627e-07 1.594579320404981431e-07
1.010000000000000000e+02 1.665804174835350038e+00 -1.455343532284994641e-02 4.817047305881104707e-04 2.367315985822672854e-07 1.584744007987929008e-07
1.020000000000000000e+02 1.652310522653650526e+00 -1.466806070203179220e-02 4.810832999857316645e-04 2.367260120487546760e-07 1.574966291237520446e-07
1.030000000000000000e+02 1.639137241359064801e+00 -1.477537723297689051e-02 4.802996780170250149e-04 2.367117423421705258e-07 1.565247478666509607e-07
1.040000000000000000e+02 1.626273681864124354e+00 -1.487553282844192130e-02 4.793463736750259410e-04 2.366885591567932343e-07 1.555587224450647743e-07
1.050000000000000000e+02 1.613705459760375938e+00 -1.496854631520646087e-02 4.782292168116397050e-04 2.366562907947369658e-07 1.545986109431425282e-07
1.060000000000000000e+02 1.601418938251112589e+00 -1.505440153978343347e-02 4.769496659214344809e-04 2.366148247082718262e-07 1.536444535239401156e-07
1.070000000000000000e+02 1.589401183764073133e+00 -1.513321213135766785e-02 4.755132806353765899e-04 2.365641075687766594e-07 1.526962908382087692e-07
1.080000000000000000e+02 1.577635959741277016e+00 -1.520501138225785823e-02 4.739174485710772244e-04 2.365041448674439309e-07 1.517541817808469756e-07
1.090000000000000000e+02 1.566119619308295352e+00 -1.526979828897911604e-02 4.721676898442539938e-04 2.364349998862451023e-07 1.508182029542369170e-07
1.100000000000000000e+02 1.554837062136350978e+00 -1.532769349059055243e-02 4.702616383695063201e-04 2.363567923179924639e-07 1.498883253077614933e-07
1.110000000000000000e+02 1.543777780174069525e+00 -1.537877823665577230e-02 4.682047543826189863e-04 2.362696963229407275e-07 1.489646614975414608e-07
1.120000000000000000e+02 1.532935475075560605e+00 -1.542302392499759513e-02 4.660022598415110209e-04 2.361739381882169623e-07 1.480472189435062665e-07
1.130000000000000000e+02 1.522300458865274209e+00 -1.546059146547412548e-02 4.636519045064350117e-04 2.360697935924591661e-07 1.471360580736887166e-07
