# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.070063311980271465e+03 2.760359818613809413e+00 3.255461838276423048e-02 0.000000000000000000e+00 7.895919240267681034e-08
3.000000000000000000e+00 5.066487150456000563e+02 1.547946885656171778e+00 2.093008862063667694e-02 0.000000000000000000e+00 9.601147003674683981e-08
4.000000000000000000e+00 2.877394149746609742e+02 8.714381882704699267e-01 1.092201999598296606e-02 0.000000000000000000e+00 1.105785093703325514e-07
5.000000000000000000e+00 1.836914399942795058e+02 4.949601922700304635e-01 4.878143810399587429e-03 0.000000000000000000e+00 1.232084241692354127e-07
6.000000000000000000e+00 1.272296833525600164e+02 2.850935379525750268e-01 1.954323152560378824e-03 0.000000000000000000e+00 1.342257521349085264e-07
7.000000000000000000e+00 9.364812388902319640e+01 1.681831797580047305e-01 7.909038577809394044e-04 0.000000000000000000e+00 1.439213594550910965e-07
8.000000000000000000e+00 7.189630834423994088e+01 1.031477287408876092e-01 3.941982283078355911e-04 0.000000000000000000e+00 1.524990848452683740e-07
9.000000000000000000e+00 5.719003941542720071e+01 6.773601095492842727e-02 2.517890972817108828e-04 0.000000000000000000e+00 1.601313611500611301e-07
1.000000000000000000e+01 4.676048738760024293e+01 4.861785723563185474e-02 1.753179633103842084e-04 0.000000000000000000e+00 1.669269342990236162e-07
1.100000000000000000e+01 3.908588705435021637e+01 3.839636897326775822e-02 1.227164017705089608e-04 0.000000000000000000e+00 1.730337269863035585e-07
1.200000000000000000e+01 3.321545224101504346e+01 3.279226134131631859e-02 9.041170739327858278e-05 0.000000000000000000e+00 1.784578739502868308e-07
1.300000000000000000e+01 2.871839819072918232e+01 2.947899055987404648e-02 7.428537567519690832e-05 0.000000000000000000e+00 1.833604385582817939e-07
1.400000000000000000e+01 2.511906852120022293e+01 2.718117607422715007e-02 6.690713223144168604e-05 0.000000000000000000e+00 1.877250638921556749e-07
