# H0 logA mnu nnu ns ombh2 omch2 tau
4.752869601451073322e+03 -9.052072712913461146e+04 5.041388120364398492e+04 -3.739582254191425454e+04 -1.231664255878222175e+05 -5.953388334165791981e+06 1.304318914206966758e+06 1.342200835753759602e+05
-9.052072712913461146e+04 7.701482843228559941e+06 -1.409846410484086256e+06 -2.149098323512882052e+05 8.976860517814615741e+06 1.832859230151008964e+08 2.960991867395528592e+06 -1.130527142340089381e+07
5.041388120364398492e+04 -1.409846410484086256e+06 6.911841007035302464e+05 -2.577953659239750705e+05 -1.902621693036782555e+06 -5.169033492498185486e+07 3.805986518389406614e+06 1.277515801535990555e+06
-3.739582254191425454e+04 -2.149098323512882052e+05 -2.577953659239750705e+05 5.096922505050904001e+05 -3.030417563935276703e+05 3.593422371805398166e+07 -1.968019498317993060e+07 -1.701180529030605394e+05
-1.231664255878222175e+05 8.976860517814615741e+06 -1.902621693036782555e+06 -3.030417563935276703e+05 1.208864170888011903e+07 2.683634853632257879e+08 7.121943382223841734e+06 -1.248462840709918737e+07
-5.953388334165791981e+06 1.832859230151008964e+08 -5.169033492498185486e+07 3.593422371805398166e+07 2.683634853632257879e+08 1.525649557726555824e+10 -2.285113790394674778e+09 -3.779379516917048693e+08
1.304318914206966758e+06 2.960991867395528592e+06 3.805986518389406614e+06 -1.968019498317993060e+07 7.121943382223841734e+06 -2.285113790394674778e+09 1.024253992834212542e+09 4.899743538592877984e+07
1.342200835753759602e+05 -1.130527142340089381e+07 1.277515801535990555e+06 -1.701180529030605394e+05 -1.248462840709918737e+07 -3.779379516917048693e+08 4.899743538592877984e+07 2.193652402157551050e+07
