# H0 logA mnu nnu ns ombh2 omch2 tau
3.733962425801222253e+03 -5.064413685190661636e+04 3.636169497136191058e+04 -3.590689848058243660e+04 -6.091514970653306955e+04 -3.857624462064769119e+06 1.269219986465189606e+06 8.842352478706715920e+04
-5.064413685190661636e+04 5.310909225775216706e+06 -6.457708116352490615e+05 -5.218631814731971826e+04 5.308797803053548560e+06 1.137067852584674060e+08 -9.582419328639531508e+06 -9.283361559223700315e+06
3.636169497136191058e+04 -6.457708116352490615e+05 4.092398589186223107e+05 -3.042119994927683729e+05 -7.316544399405603763e+05 -3.328279865538045391e+07 9.009236814800936729e+06 8.012249272798530292e+05
-3.590689848058243660e+04 -5.218631814731971826e+04 -3.042119994927683729e+05 4.421847384727230528e+05 -5.918217196537570999e+04 2.780865060689336807e+07 -1.516431598497553170e+07 -9.240503230635904765e+04
-6.091514970653306955e+04 5.308797803053548560e+06 -7.316544399405603763e+05 -5.918217196537570999e+04 6.386945827494913712e+06 1.559920983663310409e+08 -1.122596028932478279e+07 -9.317185265598606318e+06
-3.857624462064769119e+06 1.137067852584674060e+08 -3.328279865538045391e+07 2.780865060689336807e+07 1.559920983663310409e+08 8.165434294313349724e+09 -1.511178517644301414e+09 -2.384636316236020029e+08
1.269219986465189606e+06 -9.582419328639531508e+06 9.009236814800936729e+06 -1.516431598497553170e+07 -1.122596028932478279e+07 -1.511178517644301414e+09 6.448254825709543228e+08 3.699338464222858846e+07
8.842352478706715920e+04 -9.283361559223700315e+06 8.012249272798530292e+05 -9.240503230635904765e+04 -9.317185265598606318e+06 -2.384636316236020029e+08 3.699338464222858846e+07 1.838161139106618240e+07
