# H0 logA mnu nnu ns ombh2 omch2 tau
4.739591227578329381e+03 -9.052072712913461146e+04 5.039227695614534605e+04 -3.734363631573275052e+04 -1.231664255878222175e+05 -5.944038346665699966e+06 1.304838082923633512e+06 1.342200835753759602e+05
-9.052072712913461146e+04 7.701482843228559941e+06 -1.409846410484086256e+06 -2.149098323512882052e+05 8.976860517814615741e+06 1.832859230151008964e+08 2.960991867395528592e+06 -1.130527142340089381e+07
5.039227695614534605e+04 -1.409846410484086256e+06 6.911410130468683783e+05 -2.577029937407265243e+05 -1.902621693036782555e+06 -5.167422690583510697e+07 3.806456399552485906e+06 1.277515801535990555e+06
-3.734363631573275052e+04 -2.149098323512882052e+05 -2.577029937407265243e+05 5.094801309576074127e+05 -3.030417563935276703e+05 3.589663472289919853e+07 -1.968188292630929127e+07 -1.701180529030605394e+05
-1.231664255878222175e+05 8.976860517814615741e+06 -1.902621693036782555e+06 -3.030417563935276703e+05 1.208864170888011903e+07 2.683634853632257879e+08 7.121943382223841734e+06 -1.248462840709918737e+07
-5.944038346665699966e+06 1.832859230151008964e+08 -5.167422690583510697e+07 3.589663472289919853e+07 2.683634853632257879e+08 1.524981076621270943e+10 -2.285437081352630138e+09 -3.779379516917048693e+08
1.304838082923633512e+06 2.960991867395528592e+06 3.806456399552485906e+06 -1.968188292630929127e+07 7.121943382223841734e+06 -2.285437081352630138e+09 1.024215993373031139e+09 4.899743538592877984e+07
1.342200835753759602e+05 -1.130527142340089381e+07 1.277515801535990555e+06 -1.701180529030605394e+05 -1.248462840709918737e+07 -3.779379516917048693e+08 4.899743538592877984e+07 2.193652402157551050e+07
