# H0 HMCode_logT_AGN logA mnu nnu ns ombh2 omch2 tau
5.042314142237166379e+03 3.951229269231973831e+03 -1.216513022347642982e+05 6.331063779769016401e+04 -3.186895408767240224e+04 -1.822287339906878769e+05 -5.461483228214980103e+06 7.658199111630890984e+05 1.339299253647276782e+05
3.951229269231973831e+03 3.224917478536387353e+04 -4.027335103475863580e+05 1.612266666335034242e+05 6.930080559284484480e+04 -7.152324891149835894e+05 5.488399947589436546e+06 -6.690205640400926583e+06 6.389870626397754677e+03
-1.216513022347642982e+05 -4.027335103475863580e+05 1.109818760185153782e+07 -2.803255821377093438e+06 -8.256549988951056730e+05 1.537048089860024676e+07 1.238559852816067934e+08 6.276982548563291878e+07 -1.121124137487606332e+07
6.331063779769016401e+04 1.612266666335034242e+05 -2.803255821377093438e+06 1.262654767215712927e+06 -8.516806326157373405e+03 -4.513833054593812674e+06 -2.784468058200869709e+07 -2.060784497305704653e+07 1.242412012765463907e+06
-3.186895408767240224e+04 6.930080559284484480e+04 -8.256549988951056730e+05 -8.516806326157373405e+03 6.203055932597636711e+05 -1.447868148384287255e+06 4.694996244249037653e+07 -3.049480364452121779e+07 -1.912913237119768164e+05
-1.822287339906878769e+05 -7.152324891149835894e+05 1.537048089860024676e+07 -4.513833054593812674e+06 -1.447868148384287255e+06 2.414980811063817516e+07 1.598457120293470025e+08 1.190549004713340104e+08 -1.232946468323789164e+07
-5.461483228214980103e+06 5.488399947589436546e+06 1.238559852816067934e+08 -2.784468058200869709e+07 4.694996244249037653e+07 1.598457120293470025e+08 1.656689602998077011e+10 -3.366518278776231766e+09 -3.825171959641125798e+08
7.658199111630890984e+05 -6.690205640400926583e+06 6.276982548563291878e+07 -2.060784497305704653e+07 -3.049480364452121779e+07 1.190549004713340104e+08 -3.366518278776231766e+09 2.081847219716274023e+09 5.113859949150552601e+07
1.339299253647276782e+05 6.389870626397754677e+03 -1.121124137487606332e+07 1.242412012765463907e+06 -1.912913237119768164e+05 -1.232946468323789164e+07 -3.825171959641125798e+08 5.113859949150552601e+07 2.198426677740019187e+07
