# logA mnu nnu ns ombh2 omch2 tau theta
1.869309424378107488e+07 -3.414923253775292076e+06 -4.283517110822627321e+06 2.759236296900798380e+07 -4.979365457106529921e+07 2.301279992078976333e+08 -1.352694414537355863e+07 -6.969323638239750266e+07
-3.414923253775292076e+06 8.522882139749996131e+05 8.873478762820879929e+05 -5.358638237032926641e+06 5.528588677979680151e+07 -5.786617267807353288e+07 9.070334053141302429e+05 1.117604003736763634e+07
-4.283517110822627321e+06 8.873478762820879929e+05 1.066028032624392305e+06 -6.671142474127784371e+06 2.058533568957496434e+07 -6.035861134365166724e+07 2.384188254859426524e+06 1.642612477689289302e+07
2.759236296900798380e+07 -5.358638237032926641e+06 -6.671142474127784371e+06 4.316505909990908951e+07 -8.901283365846729279e+07 3.667339704658961296e+08 -1.764595506867935136e+07 -1.064587469962325990e+08
-4.979365457106529921e+07 5.528588677979680151e+07 2.058533568957496434e+07 -8.901283365846729279e+07 1.482467222706702995e+10 -3.765770104711399555e+09 -2.840177462685152888e+08 -5.451827580511945486e+08
2.301279992078976333e+08 -5.786617267807353288e+07 -6.035861134365166724e+07 3.667339704658961296e+08 -3.765770104711399555e+09 3.947995128334373951e+09 -5.749778845504356921e+07 -7.430667619813146591e+08
-1.352694414537355863e+07 9.070334053141302429e+05 2.384188254859426524e+06 -1.764595506867935136e+07 -2.840177462685152888e+08 -5.749778845504356921e+07 2.056541269935460016e+07 6.192703933985675871e+07
-6.969323638239750266e+07 1.117604003736763634e+07 1.642612477689289302e+07 -1.064587469962325990e+08 -5.451827580511945486e+08 -7.430667619813146591e+08 6.192703933985675871e+07 4.571224846594415307e+08
