# logA mnu nnu ns ombh2 omch2 tau theta
5.310585709721437655e+06 -1.853635063359265332e+05 -6.382259772966818418e+05 5.308453958699883893e+06 7.186494728363694251e+07 8.125326116685457528e+06 -9.282807109378553927e+06 -1.704396510669996217e+07
-1.853635063359265332e+05 5.691461991397962265e+04 5.018886747189557354e+04 -1.777537591638137237e+05 3.809829667173750699e+06 -3.381111513114214875e+06 -3.364583594383322179e+03 7.843465371123113437e+05
-6.382259772966818418e+05 5.018886747189557354e+04 1.113139421743425482e+05 -7.642085221539905760e+05 -1.083144291267204843e+07 -3.034432239527109079e+06 9.308043902630190132e+05 2.385270424821013119e+06
5.308453958699883893e+06 -1.777537591638137237e+05 -7.642085221539905760e+05 6.386557590543528087e+06 1.056738487419707924e+08 1.007383926813284308e+07 -9.316580974874487147e+06 -2.051065440911782160e+07
7.186494728363694251e+07 3.809829667173750699e+06 -1.083144291267204843e+07 1.056738487419707924e+08 4.343914986455984116e+09 -1.931729083567599058e+08 -1.654957873850095272e+08 -2.631251372750709951e+08
8.125326116685457528e+06 -3.381111513114214875e+06 -3.034432239527109079e+06 1.007383926813284308e+07 -1.931729083567599058e+08 2.135900113527275920e+08 6.068583625969749875e+06 -1.291974738345182128e+07
-9.282807109378553927e+06 -3.364583594383322179e+03 9.308043902630190132e+05 -9.316580974874487147e+06 -1.654957873850095272e+08 6.068583625969749875e+06 1.838052944846894220e+07 2.978181997868686914e+07
-1.704396510669996217e+07 7.843465371123113437e+05 2.385270424821013119e+06 -2.051065440911782160e+07 -2.631251372750709951e+08 -1.291974738345182128e+07 2.978181997868686914e+07 4.033433127917460203e+08
