# HMCode_logT_AGN logA mnu nnu ns ombh2 omch2 tau theta
3.224375577883559890e+04 -4.026743611626229249e+05 1.253458779960549145e+05 1.150010162097993016e+05 -7.151440809030086966e+05 8.777427435545921326e+06 -8.068396419203899801e+06 5.975101049711210180e+03 1.320441417976042954e+06
-4.026743611626229249e+05 1.109715019371546432e+07 -1.698279653724464588e+06 -2.232756922181901988e+06 1.536906209596899152e+07 2.307229862624589354e+07 1.052705736375533491e+08 -1.120409922091989033e+07 -4.079022136609020084e+07
1.253458779960549145e+05 -1.698279653724464588e+06 5.299545367689763661e+05 4.828604263885089313e+05 -2.857902000341074541e+06 3.637643364951831847e+07 -3.365891757133223861e+07 2.200478718971657145e+04 5.782444366101876833e+06
1.150010162097993016e+05 -2.232756922181901988e+06 4.828604263885089313e+05 5.586102762151339557e+05 -3.555796993736706208e+06 5.717776063391653821e+06 -3.092409932224347070e+07 1.356055464575401274e+06 8.815937022918509319e+06
-7.151440809030086966e+05 1.536906209596899152e+07 -2.857902000341074541e+06 -3.555796993736706208e+06 2.414787183731775358e+07 8.782840357095416635e+06 1.827124605214018226e+08 -1.231850636980079487e+07 -6.108342221029944718e+07
8.777427435545921326e+06 2.307229862624589354e+07 3.637643364951831847e+07 5.717776063391653821e+06 8.782840357095416635e+06 1.100262515902589989e+10 -2.287219780087897301e+09 -2.720912079586861134e+08 -4.366421395011568666e+08
-8.068396419203899801e+06 1.052705736375533491e+08 -3.365891757133223861e+07 -3.092409932224347070e+07 1.827124605214018226e+08 -2.287219780087897301e+09 2.163336496893156528e+09 4.418826144734191708e+06 -3.357755418294932246e+08
5.975101049711210180e+03 -1.120409922091989033e+07 2.200478718971657145e+04 1.356055464575401274e+06 -1.231850636980079487e+07 -2.720912079586861134e+08 4.418826144734191708e+06 2.198196396317648143e+07 4.500585019040256739e+07
1.320441417976042954e+06 -4.079022136609020084e+07 5.782444366101876833e+06 8.815937022918509319e+06 -6.108342221029944718e+07 -4.366421395011568666e+08 -3.357755418294932246e+08 4.500585019040256739e+07 5.490410551772452593e+08
