# H0 logA mnu nnu ns ombh2 omch2 tau
3.456110722723577965e+03 -4.332744459901183291e+04 3.286799261916282558e+04 -3.378718545797362458e+04 -5.225107556248215406e+04 -3.595675251552366186e+06 1.213001747445204295e+06 7.919503038871545868e+04
-4.332744459901183291e+04 4.397104610530310310e+06 -4.835080897013251670e+05 3.483429694344141171e+04 4.173032067148813512e+06 9.261123295438529551e+07 -1.303442762188551947e+07 -8.103839653123746626e+06
3.286799261916282558e+04 -4.835080897013251670e+05 3.382716458273042226e+05 -3.012647962351144524e+05 -5.487180622852259548e+05 -3.266399593918135390e+07 1.012056104502658732e+07 7.312813368996101199e+05
-3.378718545797362458e+04 3.483429694344141171e+04 -3.012647962351144524e+05 3.950723834085202543e+05 4.959236488736674073e+04 2.699238123544815555e+07 -1.325625229312828928e+07 -1.498879510137359321e+05
-5.225107556248215406e+04 4.173032067148813512e+06 -5.487180622852259548e+05 4.959236488736674073e+04 4.942021492842641659e+06 1.265113214543371797e+08 -1.486255435871649347e+07 -7.758063812480091117e+06
-3.595675251552366186e+06 9.261123295438529551e+07 -3.266399593918135390e+07 2.699238123544815555e+07 1.265113214543371797e+08 6.780262919014356613e+09 -1.305507487525811911e+09 -1.845812655514369309e+08
1.213001747445204295e+06 -1.303442762188551947e+07 1.012056104502658732e+07 -1.325625229312828928e+07 -1.486255435871649347e+07 -1.305507487525811911e+09 5.222335375956402421e+08 3.308200859576649591e+07
7.919503038871545868e+04 -8.103839653123746626e+06 7.312813368996101199e+05 -1.498879510137359321e+05 -7.758063812480091117e+06 -1.845812655514369309e+08 3.308200859576649591e+07 1.596241012000465579e+07
