# H0 logA mnu nnu ns ombh2 omch2 tau
2.131777436112250541e+02 1.890666705444443210e+02 2.127911108234395670e+03 -2.223613635727478595e+03 -3.689672417253530625e+02 -1.850125856116992945e+05 6.823684680676148855e+04 -1.418460070847136649e+03
1.890666705444443210e+02 6.259364226897172630e+05 -1.683810661902901484e+04 -9.559619770777357189e+03 5.665577188227036095e+04 -6.801261410789402202e+06 -4.611796063949624076e+05 -1.119538069541235920e+06
2.127911108234395670e+03 -1.683810661902901484e+04 2.567129257362251883e+04 -1.856585634643087906e+04 -1.069218389550527172e+04 -1.545431195167819038e+06 4.470848990979935625e+05 -6.846729359599679810e+03
-2.223613635727478595e+03 -9.559619770777357189e+03 -1.856585634643087906e+04 2.744347618814984526e+04 -8.604612577411258826e+03 1.868134128159024520e+06 -9.746064105032794178e+05 5.230693944864314290e+03
-3.689672417253530625e+02 5.665577188227036095e+04 -1.069218389550527172e+04 -8.604612577411258826e+03 1.392178579925640661e+05 -5.947135387757840799e+05 4.557110876848705811e+05 -6.765523265457559319e+04
-1.850125856116992945e+05 -6.801261410789402202e+06 -1.545431195167819038e+06 1.868134128159024520e+06 -5.947135387757840799e+05 3.451777359277336001e+08 -5.079507166667349637e+07 1.250753133698372357e+07
6.823684680676148855e+04 -4.611796063949624076e+05 4.470848990979935625e+05 -9.746064105032794178e+05 4.557110876848705811e+05 -5.079507166667349637e+07 4.066747370028267801e+07 2.166743958390653599e+06
-1.418460070847136649e+03 -1.119538069541235920e+06 -6.846729359599679810e+03 5.230693944864314290e+03 -6.765523265457559319e+04 1.250753133698372357e+07 2.166743958390653599e+06 2.206726928703398444e+06
