# H0 logA mnu nnu ns ombh2 omch2 tau
1.327837387274421488e+01 0.000000000000000000e+00 2.160424749864184690e+01 -5.218622618150686776e+01 0.000000000000000000e+00 -9.349987500092142000e+03 -5.191687166668064037e+02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.160424749864184690e+01 0.000000000000000000e+00 4.308765666184832810e+01 -9.237218324855810181e+01 0.000000000000000000e+00 -1.610801914674866202e+04 -4.698811630794597249e+02 0.000000000000000000e+00
-5.218622618150686776e+01 0.000000000000000000e+00 -9.237218324855810181e+01 2.121195474830114449e+02 0.000000000000000000e+00 3.758899515478585090e+04 1.687943129360163766e+03 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-9.349987500092142000e+03 0.000000000000000000e+00 -1.610801914674866202e+04 3.758899515478585090e+04 0.000000000000000000e+00 6.684811052848155610e+06 3.232909579551789793e+05 0.000000000000000000e+00
-5.191687166668064037e+02 0.000000000000000000e+00 -4.698811630794597249e+02 1.687943129360163766e+03 0.000000000000000000e+00 3.232909579551789793e+05 3.799946118137537997e+04 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
