# H0 logA mnu nnu ns ombh2 omch2 tau
5.133620394309256881e+03 -1.304086809955679200e+05 6.485751293071424152e+04 -3.072613779227163104e+04 -1.935886553147964587e+05 -5.512107954115157016e+06 6.806291475594276562e+05 1.375416736721283814e+05
-1.304086809955679200e+05 1.191476419282350503e+07 -2.935017580679787789e+06 -9.295721170171189588e+05 1.639768170542219654e+07 1.302921418894320428e+08 7.028258999990642071e+07 -1.156692848591247201e+07
6.485751293071424152e+04 -2.935017580679787789e+06 1.244379327021647012e+06 9.725715539143241131e+02 -4.583730555653619580e+06 -3.239532204895881191e+07 -2.059271941488871351e+07 1.367734868289075559e+06
-3.072613779227163104e+04 -9.295721170171189588e+05 9.725715539143241131e+02 6.322629808994850609e+05 -1.559974202750120312e+06 4.550978427522064000e+07 -3.123251810450486839e+07 -1.345993201456865354e+05
-1.935886553147964587e+05 1.639768170542219654e+07 -4.583730555653619580e+06 -1.559974202750120312e+06 2.526055855173880607e+07 1.759648448853651881e+08 1.255539634393219352e+08 -1.296335982487288676e+07
-5.512107954115157016e+06 1.302921418894320428e+08 -3.239532204895881191e+07 4.550978427522064000e+07 1.759648448853651881e+08 1.629121645958398819e+10 -3.200065136102368832e+09 -3.795894711318335533e+08
6.806291475594276562e+05 7.028258999990642071e+07 -2.059271941488871351e+07 -3.123251810450486839e+07 1.255539634393219352e+08 -3.200065136102368832e+09 2.113623932632967472e+09 4.582652383227318525e+07
1.375416736721283814e+05 -1.156692848591247201e+07 1.367734868289075559e+06 -1.345993201456865354e+05 -1.296335982487288676e+07 -3.795894711318335533e+08 4.582652383227318525e+07 2.203283886784612387e+07
