# H0 logA mnu nnu ns ombh2 omch2 tau
3.747240799673966649e+03 -5.064413685190661636e+04 3.638329921886054944e+04 -3.595908470676394063e+04 -6.091514970653306955e+04 -3.866974449564861134e+06 1.268700817748522852e+06 8.842352478706715920e+04
-5.064413685190661636e+04 5.310909225775216706e+06 -6.457708116352490615e+05 -5.218631814731971826e+04 5.308797803053548560e+06 1.137067852584674060e+08 -9.582419328639531508e+06 -9.283361559223700315e+06
3.638329921886054944e+04 -6.457708116352490615e+05 4.092829465752841788e+05 -3.043043716760169482e+05 -7.316544399405603763e+05 -3.329890667452720180e+07 9.008766933637857437e+06 8.012249272798530292e+05
-3.595908470676394063e+04 -5.218631814731971826e+04 -3.043043716760169482e+05 4.423968580202060402e+05 -5.918217196537570999e+04 2.784623960204815492e+07 -1.516262804184617102e+07 -9.240503230635904765e+04
-6.091514970653306955e+04 5.308797803053548560e+06 -7.316544399405603763e+05 -5.918217196537570999e+04 6.386945827494913712e+06 1.559920983663310409e+08 -1.122596028932478279e+07 -9.317185265598606318e+06
-3.866974449564861134e+06 1.137067852584674060e+08 -3.329890667452720180e+07 2.784623960204815492e+07 1.559920983663310409e+08 8.172119105366197586e+09 -1.510855226686346292e+09 -2.384636316236020029e+08
1.268700817748522852e+06 -9.582419328639531508e+06 9.008766933637857437e+06 -1.516262804184617102e+07 -1.122596028932478279e+07 -1.510855226686346292e+09 6.448634820321357250e+08 3.699338464222858846e+07
8.842352478706715920e+04 -9.283361559223700315e+06 8.012249272798530292e+05 -9.240503230635904765e+04 -9.317185265598606318e+06 -2.384636316236020029e+08 3.699338464222858846e+07 1.838161139106618240e+07
