# H0 logA mnu nnu ns ombh2 omch2 tau
5.089246378803782136e+03 -1.240344572834255523e+05 6.261685160413685662e+04 -3.189440932435296418e+04 -1.809103544366895221e+05 -5.617046929808246903e+06 7.860954795358987758e+05 1.374036772364201897e+05
-1.240344572834255523e+05 1.120774886692542769e+07 -2.684431432382282801e+06 -8.057195580834065331e+05 1.499273004978000559e+07 1.409080826783557534e+08 5.853240475280514359e+07 -1.155051125539517216e+07
6.261685160413685662e+04 -2.684431432382282801e+06 1.155545705074691679e+06 -4.299381462528801057e+04 -4.086547110111705959e+06 -3.616610572905930877e+07 -1.643015425780486502e+07 1.361919084768132074e+06
-3.189440932435296418e+04 -8.057195580834065331e+05 -4.299381462528801057e+04 6.107827513414911227e+05 -1.314103515622818610e+06 4.369320610302153975e+07 -2.917403542806611583e+07 -1.376450863931529748e+05
-1.809103544366895221e+05 1.499273004978000559e+07 -4.086547110111705959e+06 -1.314103515622818610e+06 2.245788934455738217e+07 1.969677597950064242e+08 1.022246020769202411e+08 -1.292791203172040358e+07
-5.617046929808246903e+06 1.409080826783557534e+08 -3.616610572905930877e+07 4.369320610302153975e+07 1.969677597950064242e+08 1.613950219132944679e+10 -3.023954404485748291e+09 -3.798967560858296752e+08
7.860954795358987758e+05 5.853240475280514359e+07 -1.643015425780486502e+07 -2.917403542806611583e+07 1.022246020769202411e+08 -3.023954404485748291e+09 1.918574052851063013e+09 4.611674228414105624e+07
1.374036772364201897e+05 -1.155051125539517216e+07 1.361919084768132074e+06 -1.376450863931529748e+05 -1.292791203172040358e+07 -3.798967560858296752e+08 4.611674228414105624e+07 2.203372345350312814e+07
