# HMCode_logT_AGN logA mnu nnu ns ombh2 omch2 tau theta
3.224375577883559890e+04 -4.026743611626229249e+05 1.253458779960549145e+05 1.150010162097993016e+05 -7.151440809030086966e+05 8.777427435545921326e+06 -8.068396419203899801e+06 5.975101049711210180e+03 1.320441417976042954e+06
-4.026743611626229249e+05 1.109715019371546432e+07 -1.698279653724464588e+06 -2.232756922181901988e+06 1.536906209596899152e+07 2.307229862624589354e+07 1.052705736375533491e+08 -1.120409922091989033e+07 -4.079022136609020084e+07
1.253458779960549145e+05 -1.698279653724464588e+06 5.292036508278548717e+05 4.836259529448171961e+05 -2.857902000341074541e+06 3.638940587781040370e+07 -3.369792026784334332e+07 2.200478718971657145e+04 5.815667731952288188e+06
1.150010162097993016e+05 -2.232756922181901988e+06 4.836259529448171961e+05 5.578297749888288090e+05 -3.555796993736706208e+06 5.704610573928554542e+06 -3.088433326076072082e+07 1.356055464575401274e+06 8.782038275577295572e+06
-7.151440809030086966e+05 1.536906209596899152e+07 -2.857902000341074541e+06 -3.555796993736706208e+06 2.414787183731775358e+07 8.782840357095416635e+06 1.827124605214018226e+08 -1.231850636980079487e+07 -6.108342221029944718e+07
8.777427435545921326e+06 2.307229862624589354e+07 3.638940587781040370e+07 5.704610573928554542e+06 8.782840357095416635e+06 1.100232778682520485e+10 -2.286549532678820610e+09 -2.720912079586861134e+08 -4.371822145440044999e+08
-8.068396419203899801e+06 1.052705736375533491e+08 -3.369792026784334332e+07 -3.088433326076072082e+07 1.827124605214018226e+08 -2.286549532678820610e+09 2.161310436634395123e+09 4.418826144734191708e+06 -3.340481995731279850e+08
5.975101049711210180e+03 -1.120409922091989033e+07 2.200478718971657145e+04 1.356055464575401274e+06 -1.231850636980079487e+07 -2.720912079586861134e+08 4.418826144734191708e+06 2.198196396317648143e+07 4.500585019040256739e+07
1.320441417976042954e+06 -4.079022136609020084e+07 5.815667731952288188e+06 8.782038275577295572e+06 -6.108342221029944718e+07 -4.371822145440044999e+08 -3.340481995731279850e+08 4.500585019040256739e+07 5.475553940175439119e+08
