# H0 HMCode_logT_AGN logA mnu nnu ns ombh2 omch2 tau
5.055592516109910321e+03 3.951229269231973831e+03 -1.216513022347642982e+05 6.333224204518880288e+04 -3.192114031385390990e+04 -1.822287339906878769e+05 -5.470833215715072118e+06 7.653007424464223441e+05 1.339299253647276782e+05
3.951229269231973831e+03 3.224917478536387353e+04 -4.027335103475863580e+05 1.612266666335034242e+05 6.930080559284484480e+04 -7.152324891149835894e+05 5.488399947589436546e+06 -6.690205640400926583e+06 6.389870626397754677e+03
-1.216513022347642982e+05 -4.027335103475863580e+05 1.109818760185153782e+07 -2.803255821377093438e+06 -8.256549988951056730e+05 1.537048089860024676e+07 1.238559852816067934e+08 6.276982548563291878e+07 -1.121124137487606332e+07
6.333224204518880288e+04 1.612266666335034242e+05 -2.803255821377093438e+06 1.262697854872374795e+06 -8.609178509405932346e+03 -4.513833054593812674e+06 -2.786078860115544498e+07 -2.060831485422012582e+07 1.242412012765463907e+06
-3.192114031385390990e+04 6.930080559284484480e+04 -8.256549988951056730e+05 -8.609178509405932346e+03 6.205177128072467167e+05 -1.447868148384287255e+06 4.698755143764515966e+07 -3.049311570139185712e+07 -1.912913237119768164e+05
-1.822287339906878769e+05 -7.152324891149835894e+05 1.537048089860024676e+07 -4.513833054593812674e+06 -1.447868148384287255e+06 2.414980811063817516e+07 1.598457120293470025e+08 1.190549004713340104e+08 -1.232946468323789164e+07
-5.470833215715072118e+06 5.488399947589436546e+06 1.238559852816067934e+08 -2.786078860115544498e+07 4.698755143764515966e+07 1.598457120293470025e+08 1.657358084103361893e+10 -3.366194987818276405e+09 -3.825171959641125798e+08
7.653007424464223441e+05 -6.690205640400926583e+06 6.276982548563291878e+07 -2.060831485422012582e+07 -3.049311570139185712e+07 1.190549004713340104e+08 -3.366194987818276405e+09 2.081885219177455425e+09 5.113859949150552601e+07
1.339299253647276782e+05 6.389870626397754677e+03 -1.121124137487606332e+07 1.242412012765463907e+06 -1.912913237119768164e+05 -1.232946468323789164e+07 -3.825171959641125798e+08 5.113859949150552601e+07 2.198426677740019187e+07
