# logA mnu nnu ns ombh2 omch2 tau theta
7.700879220595417544e+06 -5.868152793185992632e+05 -1.261965089123680023e+06 8.976099073610950261e+06 1.084121937857462466e+08 3.460601716056560725e+07 -1.130438915346463025e+07 -3.038352253424412385e+07
-5.868152793185992632e+05 1.676621838767841691e+05 1.655204481084948638e+05 -7.825577342239193385e+05 8.456985918803887442e+06 -1.057889050955223292e+07 5.612694538775605179e+04 2.379679085307254456e+06
-1.261965089123680023e+06 1.655204481084948638e+05 2.806205712923864485e+05 -1.727792022085157689e+06 -1.839120181201482192e+07 -1.074416066720564663e+07 1.382365193662113510e+06 5.815310379819546826e+06
8.976099073610950261e+06 -7.825577342239193385e+05 -1.727792022085157689e+06 1.208762797013505176e+07 1.664843916412993371e+08 5.017970609367997199e+07 -1.248351808124776557e+07 -4.133943484172842652e+07
1.084121937857462466e+08 8.456985918803887442e+06 -1.839120181201482192e+07 1.664843916412993371e+08 8.670491892516212463e+09 -5.010616516571735740e+08 -2.671322074160639048e+08 -6.819781665635018349e+08
3.460601716056560725e+07 -1.057889050955223292e+07 -1.074416066720564663e+07 5.017970609367997199e+07 -5.010616516571735740e+08 6.927851832561202049e+08 2.056458911658843979e+06 -1.202909989259687662e+08
-1.130438915346463025e+07 5.612694538775605179e+04 1.382365193662113510e+06 -1.248351808124776557e+07 -2.671322074160639048e+08 2.056458911658843979e+06 2.193488291595393792e+07 4.512072818617780507e+07
-3.038352253424412385e+07 2.379679085307254456e+06 5.815310379819546826e+06 -4.133943484172842652e+07 -6.819781665635018349e+08 -1.202909989259687662e+08 4.512072818617780507e+07 5.152403484979686737e+08
