# H0 logA mnu nnu ns ombh2 omch2 tau
2.230536270719219829e+03 -2.635772410631192179e+04 2.095675842529508009e+04 -2.218447096618810974e+04 -3.098153168132071005e+04 -2.202294019797223154e+06 7.958422259973495966e+05 4.932064821232755639e+04
-2.635772410631192179e+04 3.103669983055511490e+06 -2.689130304177496000e+05 3.454417735734274174e+04 2.673606018198222853e+06 5.018058033130841702e+07 -1.030420260518118553e+07 -5.941724083813187666e+06
2.095675842529508009e+04 -2.689130304177496000e+05 2.044468825820597121e+05 -2.031950956976790330e+05 -3.032377319225530373e+05 -2.045841901002080366e+07 7.139288684519346803e+06 4.604446343051786534e+05
-2.218447096618810974e+04 3.454417735734274174e+04 -2.031950956976790330e+05 2.551604765007569222e+05 3.458834200410637277e+04 1.712386264128348604e+07 -8.390915845676852390e+06 -8.462222219302513986e+04
-3.098153168132071005e+04 2.673606018198222853e+06 -3.032377319225530373e+05 3.458834200410637277e+04 3.099144008354959078e+06 6.989025932127602398e+07 -1.025939968009195291e+07 -5.137729375794244930e+06
-2.202294019797223154e+06 5.018058033130841702e+07 -2.045841901002080366e+07 1.712386264128348604e+07 6.989025932127602398e+07 3.590337570243943214e+09 -7.617010392211835384e+08 -9.714520909064909816e+07
7.958422259973495966e+05 -1.030420260518118553e+07 7.139288684519346803e+06 -8.390915845676852390e+06 -1.025939968009195291e+07 -7.617010392211835384e+08 3.156949819754753709e+08 2.192943176043769345e+07
4.932064821232755639e+04 -5.941724083813187666e+06 4.604446343051786534e+05 -8.462222219302513986e+04 -5.137729375794244930e+06 -9.714520909064909816e+07 2.192943176043769345e+07 1.168896392079344206e+07
