# logA mnu nnu ns ombh2 omch2 tau theta
5.310585709721437655e+06 -1.853635063359265332e+05 -6.382259772966818418e+05 5.308453958699883893e+06 7.186494728363694251e+07 8.125326116685457528e+06 -9.282807109378553927e+06 -1.704396510669996217e+07
-1.853635063359265332e+05 5.766550585510111705e+04 4.942334091558730870e+04 -1.777537591638137237e+05 3.796857438881668262e+06 -3.342108816603108775e+06 -3.364583594383322179e+03 7.511231712619003374e+05
-6.382259772966818418e+05 4.942334091558730870e+04 1.120944434006477386e+05 -7.642085221539905760e+05 -1.081827742320895009e+07 -3.074198301009858027e+06 9.308043902630190132e+05 2.419169172162225936e+06
5.308453958699883893e+06 -1.777537591638137237e+05 -7.642085221539905760e+05 6.386557590543528087e+06 1.056738487419707924e+08 1.007383926813284308e+07 -9.316580974874487147e+06 -2.051065440911782160e+07
7.186494728363694251e+07 3.796857438881668262e+06 -1.081827742320895009e+07 1.056738487419707924e+08 4.344212358656680107e+09 -1.938431557658366859e+08 -1.654957873850095272e+08 -2.625850622322233617e+08
8.125326116685457528e+06 -3.342108816603108775e+06 -3.074198301009858027e+06 1.007383926813284308e+07 -1.938431557658366859e+08 2.156160716114891768e+08 6.068583625969749875e+06 -1.464708963981703110e+07
-9.282807109378553927e+06 -3.364583594383322179e+03 9.308043902630190132e+05 -9.316580974874487147e+06 -1.654957873850095272e+08 6.068583625969749875e+06 1.838052944846894220e+07 2.978181997868686914e+07
-1.704396510669996217e+07 7.511231712619003374e+05 2.419169172162225936e+06 -2.051065440911782160e+07 -2.625850622322233617e+08 -1.464708963981703110e+07 2.978181997868686914e+07 4.048289739514473081e+08
