# H0 logA mnu nnu ns ombh2 omch2 tau
2.217257896846475433e+03 -2.635772410631192179e+04 2.093515417779643758e+04 -2.213228474000660208e+04 -3.098153168132071005e+04 -2.192944032297131140e+06 7.963613947140163509e+05 4.932064821232755639e+04
-2.635772410631192179e+04 3.103669983055511490e+06 -2.689130304177496000e+05 3.454417735734274174e+04 2.673606018198222853e+06 5.018058033130841702e+07 -1.030420260518118553e+07 -5.941724083813187666e+06
2.093515417779643758e+04 -2.689130304177496000e+05 2.044037949253978732e+05 -2.031027235144304868e+05 -3.032377319225530373e+05 -2.044231099087405577e+07 7.139758565682426095e+06 4.604446343051786534e+05
-2.213228474000660208e+04 3.454417735734274174e+04 -2.031027235144304868e+05 2.549483569532739057e+05 3.458834200410637277e+04 1.708627364612869918e+07 -8.392603788806213066e+06 -8.462222219302513986e+04
-3.098153168132071005e+04 2.673606018198222853e+06 -3.032377319225530373e+05 3.458834200410637277e+04 3.099144008354959078e+06 6.989025932127602398e+07 -1.025939968009195291e+07 -5.137729375794244930e+06
-2.192944032297131140e+06 5.018058033130841702e+07 -2.044231099087405577e+07 1.708627364612869918e+07 6.989025932127602398e+07 3.583652759191094875e+09 -7.620243301791386604e+08 -9.714520909064909816e+07
7.963613947140163509e+05 -1.030420260518118553e+07 7.139758565682426095e+06 -8.392603788806213066e+06 -1.025939968009195291e+07 -7.620243301791386604e+08 3.156569825142939687e+08 2.192943176043769345e+07
4.932064821232755639e+04 -5.941724083813187666e+06 4.604446343051786534e+05 -8.462222219302513986e+04 -5.137729375794244930e+06 -9.714520909064909816e+07 2.192943176043769345e+07 1.168896392079344206e+07
