# H0 logA mnu nnu ns ombh2 omch2 tau
5.075968004931038195e+03 -1.240344572834255523e+05 6.259524735663821775e+04 -3.184222309817145651e+04 -1.809103544366895221e+05 -5.607696942308154888e+06 7.866146482525655301e+05 1.374036772364201897e+05
-1.240344572834255523e+05 1.120774886692542769e+07 -2.684431432382282801e+06 -8.057195580834065331e+05 1.499273004978000559e+07 1.409080826783557534e+08 5.853240475280514359e+07 -1.155051125539517216e+07
6.259524735663821775e+04 -2.684431432382282801e+06 1.155502617418029811e+06 -4.290144244203944982e+04 -4.086547110111705959e+06 -3.614999770991256088e+07 -1.642968437664178573e+07 1.361919084768132074e+06
-3.184222309817145651e+04 -8.057195580834065331e+05 -4.290144244203944982e+04 6.105706317940080771e+05 -1.314103515622818610e+06 4.365561710786675662e+07 -2.917572337119547650e+07 -1.376450863931529748e+05
-1.809103544366895221e+05 1.499273004978000559e+07 -4.086547110111705959e+06 -1.314103515622818610e+06 2.245788934455738217e+07 1.969677597950064242e+08 1.022246020769202411e+08 -1.292791203172040358e+07
-5.607696942308154888e+06 1.409080826783557534e+08 -3.614999770991256088e+07 4.365561710786675662e+07 1.969677597950064242e+08 1.613281738027659798e+10 -3.024277695443703651e+09 -3.798967560858296752e+08
7.866146482525655301e+05 5.853240475280514359e+07 -1.642968437664178573e+07 -2.917572337119547650e+07 1.022246020769202411e+08 -3.024277695443703651e+09 1.918536053389881611e+09 4.611674228414105624e+07
1.374036772364201897e+05 -1.155051125539517216e+07 1.361919084768132074e+06 -1.376450863931529748e+05 -1.292791203172040358e+07 -3.798967560858296752e+08 4.611674228414105624e+07 2.203372345350312814e+07
