# logA mnu nnu ns ombh2 omch2 tau theta
1.191363248855076730e+07 -1.745902381387426984e+06 -2.438103985540548339e+06 1.639615967036817595e+07 2.208472795754337311e+07 1.158356451785763353e+08 -1.156585004437818564e+07 -4.371687680775099248e+07
-1.745902381387426984e+06 4.878776146970741684e+05 4.897920497049522237e+05 -2.817008018119594548e+06 3.284890952499602735e+07 -3.307281907320114225e+07 1.158814722153221810e+05 6.040016232976041734e+06
-2.438103985540548339e+06 4.897920497049522237e+05 6.085230818711712491e+05 -3.799498908176769502e+06 5.549256853119035251e+06 -3.337657989528414980e+07 1.456253128990791505e+06 9.517452015176288784e+06
1.639615967036817595e+07 -2.817008018119594548e+06 -3.799498908176769502e+06 2.525851865630464628e+07 1.521940256897089444e+07 1.931689807965647578e+08 -1.296190277904819697e+07 -6.487883686507914960e+07
2.208472795754337311e+07 3.284890952499602735e+07 5.549256853119035251e+06 1.521940256897089444e+07 1.071046620917888641e+10 -2.202320857986345768e+09 -2.660223504033587873e+08 -4.282470317150624990e+08
1.158356451785763353e+08 -3.307281907320114225e+07 -3.337657989528414980e+07 1.931689807965647578e+08 -2.202320857986345768e+09 2.263541218402188778e+09 -2.270697281235936563e+06 -3.731568739141327739e+08
-1.156585004437818564e+07 1.158814722153221810e+05 1.456253128990791505e+06 -1.296190277904819697e+07 -2.660223504033587873e+08 -2.270697281235936563e+06 2.203115580109910294e+07 4.623332510340508074e+07
-4.371687680775099248e+07 6.040016232976041734e+06 9.517452015176288784e+06 -6.487883686507914960e+07 -4.282470317150624990e+08 -3.731568739141327739e+08 4.623332510340508074e+07 5.577555804958937168e+08
