# H0 logA mnu nnu ns ombh2 omch2 tau
3.442832348850833569e+03 -4.332744459901183291e+04 3.284638837166418671e+04 -3.373499923179212055e+04 -5.225107556248215406e+04 -3.586325264052274171e+06 1.213520916161871050e+06 7.919503038871545868e+04
-4.332744459901183291e+04 4.397104610530310310e+06 -4.835080897013251670e+05 3.483429694344141171e+04 4.173032067148813512e+06 9.261123295438529551e+07 -1.303442762188551947e+07 -8.103839653123746626e+06
3.284638837166418671e+04 -4.835080897013251670e+05 3.382285581706423545e+05 -3.011724240518658771e+05 -5.487180622852259548e+05 -3.264788792003460601e+07 1.012103092618966661e+07 7.312813368996101199e+05
-3.373499923179212055e+04 3.483429694344141171e+04 -3.011724240518658771e+05 3.948602638610372669e+05 4.959236488736674073e+04 2.695479224029336870e+07 -1.325794023625764996e+07 -1.498879510137359321e+05
-5.225107556248215406e+04 4.173032067148813512e+06 -5.487180622852259548e+05 4.959236488736674073e+04 4.942021492842641659e+06 1.265113214543371797e+08 -1.486255435871649347e+07 -7.758063812480091117e+06
-3.586325264052274171e+06 9.261123295438529551e+07 -3.264788792003460601e+07 2.695479224029336870e+07 1.265113214543371797e+08 6.773578107961508751e+09 -1.305830778483767033e+09 -1.845812655514369309e+08
1.213520916161871050e+06 -1.303442762188551947e+07 1.012103092618966661e+07 -1.325794023625764996e+07 -1.486255435871649347e+07 -1.305830778483767033e+09 5.221955381344588399e+08 3.308200859576649591e+07
7.919503038871545868e+04 -8.103839653123746626e+06 7.312813368996101199e+05 -1.498879510137359321e+05 -7.758063812480091117e+06 -1.845812655514369309e+08 3.308200859576649591e+07 1.596241012000465579e+07
