# logA mnu nnu ns ombh2 omch2 tau theta
6.259357540876936400e+05 -1.860420369682812452e+04 -7.392171296792407702e+03 5.665707780471850856e+04 -6.651299423904331401e+06 -5.278895133163948776e+05 -1.119544360876349732e+06 6.260438985395740747e+04
-1.860420369682812452e+04 4.618695423247043436e+03 3.852121563062296900e+03 -7.353167888752969702e+03 2.953801751880602678e+05 -2.401148423602069670e+05 6.077959418722441114e+03 6.273098437447153265e+04
-7.392171296792407702e+03 3.852121563062296900e+03 4.523370874677272695e+03 -1.287797218127674569e+04 -7.081874658924761752e+04 -2.699859048858483438e+05 -1.113630258468534157e+04 7.994341225871966162e+04
5.665707780471850856e+04 -7.353167888752969702e+03 -1.287797218127674569e+04 1.392179862269700097e+05 -9.015976053386835847e+05 5.845722651811186224e+05 -6.766009924338302517e+04 -1.239639975070910732e+05
-6.651299423904331401e+06 2.953801751880602678e+05 -7.081874658924761752e+04 -9.015976053386835847e+05 1.851499087178643048e+08 8.636795876679655164e+06 1.134013594198942743e+07 -2.993828740922793280e+06
-5.278895133163948776e+05 -2.401148423602069670e+05 -2.699859048858483438e+05 5.845722651811186224e+05 8.636795876679655164e+06 1.900099372881969437e+07 2.663243567467654590e+06 -2.124809921561203897e+06
-1.119544360876349732e+06 6.077959418722441114e+03 -1.113630258468534157e+04 -6.766009924338302517e+04 1.134013594198942743e+07 2.663243567467654590e+06 2.206744276483150199e+06 -4.728109529332684469e+05
6.260438985395740747e+04 6.273098437447153265e+04 7.994341225871966162e+04 -1.239639975070910732e+05 -2.993828740922793280e+06 -2.124809921561203897e+06 -4.728109529332684469e+05 2.367557266752208769e+07
