# logA mnu nnu ns ombh2 omch2 tau theta
3.103505827871320769e+06 -2.910569212330924347e+04 -2.701765928545830538e+05 2.673437704078415409e+06 2.841995977809919417e+07 -1.085885868814169895e+06 -5.941413722433212213e+06 -8.838126566557496786e+06
-2.910569212330924347e+04 7.022913268258148491e+03 7.058841902732680865e+03 -2.132673267568144001e+04 1.420975430159397074e+05 -3.733799976852450054e+05 1.161405244562282860e+04 2.465924998050117283e+05
-2.701765928545830538e+05 7.058841902732680865e+03 3.958069010371265176e+04 -3.236036264271487016e+05 -5.383454090786580928e+06 -4.120871859360352973e+05 4.855939952189362957e+05 1.144089711291576037e+06
2.673437704078415409e+06 -2.132673267568144001e+04 -3.236036264271487016e+05 3.098953713848212268e+06 4.431291873208506405e+07 5.762796291719928849e+05 -5.137408049521553330e+06 -1.039069831381596252e+07
2.841995977809919417e+07 1.420975430159397074e+05 -5.383454090786580928e+06 4.431291873208506405e+07 1.474308746394759178e+09 2.208040051789714396e+07 -5.643953011888434738e+07 -1.217337364892410040e+08
-1.085885868814169895e+06 -3.733799976852450054e+05 -4.120871859360352973e+05 5.762796291719928849e+05 2.208040051789714396e+07 2.979801037825981155e+07 4.679145200403174385e+06 6.674087922790425830e+06
-5.941413722433212213e+06 1.161405244562282860e+04 4.855939952189362957e+05 -5.137408049521553330e+06 -5.643953011888434738e+07 4.679145200403174385e+06 1.168836180893621407e+07 1.654381734022322670e+07
-8.838126566557496786e+06 2.465924998050117283e+05 1.144089711291576037e+06 -1.039069831381596252e+07 -1.217337364892410040e+08 6.674087922790425830e+06 1.654381734022322670e+07 2.408561005436325669e+08
