# H0 logA mnu nnu ns ombh2 omch2 tau
2.264561174839692796e+02 1.890666705444443210e+02 2.149515355733037723e+03 -2.275799861908985349e+03 -3.689672417253530625e+02 -1.943625731117914256e+05 6.771767809009467601e+04 -1.418460070847136649e+03
1.890666705444443210e+02 6.259364226897172630e+05 -1.683810661902901484e+04 -9.559619770777357189e+03 5.665577188227036095e+04 -6.801261410789402202e+06 -4.611796063949624076e+05 -1.119538069541235920e+06
2.149515355733037723e+03 -1.683810661902901484e+04 2.571438023028436874e+04 -1.865822852967943618e+04 -1.069218389550527172e+04 -1.561539214314567624e+06 4.466150179349140963e+05 -6.846729359599679810e+03
-2.275799861908985349e+03 -9.559619770777357189e+03 -1.865822852967943618e+04 2.765559573563285812e+04 -8.604612577411258826e+03 1.905723123313810444e+06 -9.729184673739192076e+05 5.230693944864314290e+03
-3.689672417253530625e+02 5.665577188227036095e+04 -1.069218389550527172e+04 -8.604612577411258826e+03 1.392178579925640661e+05 -5.947135387757840799e+05 4.557110876848705811e+05 -6.765523265457559319e+04
-1.943625731117914256e+05 -6.801261410789402202e+06 -1.561539214314567624e+06 1.905723123313810444e+06 -5.947135387757840799e+05 3.518625469805817604e+08 -5.047178070871831477e+07 1.250753133698372357e+07
6.771767809009467601e+04 -4.611796063949624076e+05 4.466150179349140963e+05 -9.729184673739192076e+05 4.557110876848705811e+05 -5.047178070871831477e+07 4.070547316146405041e+07 2.166743958390653599e+06
-1.418460070847136649e+03 -1.119538069541235920e+06 -6.846729359599679810e+03 5.230693944864314290e+03 -6.765523265457559319e+04 1.250753133698372357e+07 2.166743958390653599e+06 2.206726928703398444e+06
