# logA mnu nnu ns ombh2 omch2 tau theta
1.120672296009230986e+07 -1.554541253027057508e+06 -2.240512767066389322e+06 1.499136659287439100e+07 3.805700900430347025e+07 1.018657287350791693e+08 -1.154947094450803474e+07 -4.158876471721680462e+07
-1.554541253027057508e+06 4.360469106364351464e+05 4.363051964677650831e+05 -2.437652959581822623e+06 2.853076836841232330e+07 -2.929260356808605418e+07 1.113707482276037044e+05 5.463463795215708204e+06
-2.240512767066389322e+06 4.363051964677650831e+05 5.532848948115245439e+05 -3.406948894973109476e+06 1.090351152452875860e+06 -2.947221469104285911e+07 1.451621242649773834e+06 8.922083614348448813e+06
1.499136659287439100e+07 -2.437652959581822623e+06 -3.406948894973109476e+06 2.245606073813999072e+07 4.687923513426971436e+07 1.654236037402594090e+08 -1.292652968584530428e+07 -6.064610372089429945e+07
3.805700900430347025e+07 2.853076836841232330e+07 1.090351152452875860e+06 4.687923513426971436e+07 1.035067209806909180e+10 -1.887269789061930895e+09 -2.664453433199692070e+08 -4.763424103728973866e+08
1.018657287350791693e+08 -2.929260356808605418e+07 -2.947221469104285911e+07 1.654236037402594090e+08 -1.887269789061930895e+09 1.987603807699433804e+09 -1.933185446254165610e+06 -3.310628655036823153e+08
-1.154947094450803474e+07 1.113707482276037044e+05 1.451621242649773834e+06 -1.292652968584530428e+07 -2.664453433199692070e+08 -1.933185446254165610e+06 2.203204196073659137e+07 4.618740511611037701e+07
-4.158876471721680462e+07 5.463463795215708204e+06 8.922083614348448813e+06 -6.064610372089429945e+07 -4.763424103728973866e+08 -3.310628655036823153e+08 4.618740511611037701e+07 5.513295564224821329e+08
