# logA mnu nnu ns ombh2 omch2 tau theta
1.120672296009230986e+07 -1.554541253027057508e+06 -2.240512767066389322e+06 1.499136659287439100e+07 3.805700900430347025e+07 1.018657287350791693e+08 -1.154947094450803474e+07 -4.158876471721680462e+07
-1.554541253027057508e+06 4.367977965775566408e+05 4.355396699114568182e+05 -2.437652959581822623e+06 2.851779614012024179e+07 -2.925360087157494947e+07 1.113707482276037044e+05 5.430240429365296848e+06
-2.240512767066389322e+06 4.355396699114568182e+05 5.540653960378296906e+05 -3.406948894973109476e+06 1.103516641915975139e+06 -2.951198075252560899e+07 1.451621242649773834e+06 8.955982361689662561e+06
1.499136659287439100e+07 -2.437652959581822623e+06 -3.406948894973109476e+06 2.245606073813999072e+07 4.687923513426971436e+07 1.654236037402594090e+08 -1.292652968584530428e+07 -6.064610372089429945e+07
3.805700900430347025e+07 2.851779614012024179e+07 1.103516641915975139e+06 4.687923513426971436e+07 1.035096947026978683e+10 -1.887940036471007586e+09 -2.664453433199692070e+08 -4.758023353300497532e+08
1.018657287350791693e+08 -2.925360087157494947e+07 -2.951198075252560899e+07 1.654236037402594090e+08 -1.887940036471007586e+09 1.989629867958195448e+09 -1.933185446254165610e+06 -3.327902077600475550e+08
-1.154947094450803474e+07 1.113707482276037044e+05 1.451621242649773834e+06 -1.292652968584530428e+07 -2.664453433199692070e+08 -1.933185446254165610e+06 2.203204196073659137e+07 4.618740511611037701e+07
-4.158876471721680462e+07 5.430240429365296848e+06 8.955982361689662561e+06 -6.064610372089429945e+07 -4.758023353300497532e+08 -3.327902077600475550e+08 4.618740511611037701e+07 5.528152175821834803e+08
